owner,repo,created_date,repo_type
waynepiekarski,XTextureExtractor,2018-02-11,original
TypeFox,theia-xtext-sprotty-example,2018-12-12,original
altran-mde,xtext-sirius-integration,2018-10-08,original
NielsLiisberg,RPG-lexer,2019-12-03,original
TypeFox,vscode-xtext-sprotty-example,2020-10-07,original
eclipse,xtext-website,2023-03-06,original
UnBCIC-TP2,Oberon-IDE,2021-05-19,original
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2019-05-10,original
resloved,xtext,2019-03-28,original
lurenzhangdeshuai,EmojiText-XText,2022-01-02,original
kuniss,xtext-ide-extensions,2019-02-23,original
Mabar16,xtextMath,2020-03-22,original
MISO4202,co.edu.uniandes.gramaticajmeter,2019-03-29,original
preesm,ripacola-xtext,2019-04-29,original
GiordanoT,ocl-xtext,2022-11-30,original
TypeFox,xtext2langium,2022-10-27,original
pen-zhang,xtext_elm_editor,2020-12-27,original
ravornyo,xspice,2022-03-13,original
OpenSextant,XText,2018-05-15,original
laubfall,jugh-xtext-arkanoid,2018-04-05,original
khabdrick,LambdaXtextract,2022-03-11,original
bsati,mgpl-xtext,2021-02-01,original
urbanoanderson,xtext-gait-model,2019-02-20,original
TopXDevTeam,TopXTextUI,2023-11-14,original
ngreve,xtext_web,2020-03-04,original
nmaoez,composer-language-server,ERROR,ERROR
FAMILIAR-project,xtext-dsl-compiler-example,2020-11-03,original
HermanPeeren,eJSL-ANTLR4,2021-12-02,original
program-in-chinese,xtext_tutorial_15_min_zh,2018-01-19,original
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19,original
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-11,original
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18,original
idiomaticsoft,xtext-tips,2022-03-17,original
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23,original
MISO4202,xtext-egl-sql2java,2019-02-15,original
oliverablagojevic,QuestionnaireDSL,2020-07-16,original
hvbargen,meth,2022-04-18,original
zxhr,gradle-xtext-generator,2020-05-31,original
tmtron,ex.xtext.lsp,2018-01-19,original
echebbi,standalone-xtext-example,2018-02-06,original
darvasd,xtext-docs-gen,2018-03-31,original
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19,original
ElBilbao,DSL-Wizard-Creator,2020-08-31,original
Zannith,XtextTest,2018-06-15,original
AnnaLenaMeiners,XtextExamples,2021-01-02,original
Kerolos77,XTextEditor,2021-01-04,original
ScytherTool,dsl,2023-05-22,original
holgerschill,xtextCodebuff,2018-10-18,original
devzwy,XTextView,2022-01-13,original
mraminella,XtextExamples,2018-05-31,original
msntts,XtextStudy,2021-04-21,original
chiachong,XTextClassification,2022-02-23,original
vinisbranco,XtextGerador,2018-08-31,original
pakhopav,XtextPlugin,2021-08-11,original
IamRaziel,XtextTutorial,2021-05-05,original
dstoft,XtextWorkspace,2021-03-25,original
MisbahAwan,XtextCollaborativeEnvironment,2023-12-28,original
pakhopav,XtextLanguage,2019-08-09,original
fonuhuolian,XTextView,2018-10-19,original
RomainLefeuvre,xtextHW,2021-11-24,original
BestCoderXQX,XTextFlagDemo,2018-06-26,original
vinisbranco,XtextTrabalho2,2018-09-05,original
loicperreal,Xtext,2019-01-22,original
goflyboy,xtextsample,2021-02-19,original
SharkJ,XtextInheritanceTest,2018-12-19,original
hewenyuAndroid,XTextView-Android,2018-10-25,original
OLibutzki,XtextExtras446,2019-06-17,original
vinisbranco,XtextJavaScript,2018-08-22,original
AndreasGroentved,XtextDSL2018,2018-04-22,original
robertchristen,XTextCategorizer.Demo,2020-05-03,original
alvarofpp,tutorial-xtext,2021-11-06,original
pakhopav,XtextLanguageGradle,2019-08-27,original
pakhopav,xtext,2019-08-02,original
adamhorvath88,Xtext,2021-02-13,original
0xMYsteRy,Xtext,2022-04-20,original
taylorlohan,XtextHealth2.0,2021-04-13,original
Caroline66666,xtext,2022-01-20,original
xuxiaowen87,XText,2020-04-24,original
MisbahAwan,xtext,2021-11-30,original
ichxorya,failed-xtext2vscode-example,2022-11-22,original
uqbar-project,xtext-tortuga-lang,2015-06-06,original
RobMoloney,xtext,2021-10-20,original
l1ppe,xtext,2019-07-02,original
madhouni,wps-ecore-ocl-xtext,2018-02-05,original
MISO4202,uniandes.mdd.xtext2xmi,2019-05-13,original
tchebs,xtext,2018-10-04,original
mlopez8621,xtext,2019-09-18,original
gvd,xtext-sm,2012-03-04,original
ShivaniBali,Theia-Xtext-Yangster-Project-,2018-06-06,original
ehah,XtendExample,2018-04-19,original
meysholdt,e4dsl,2010-07-02,original
vks2106,prenum,2021-02-18,original
drkstr101,hello-xtext,2020-05-30,original
arthurmosley,Essex-Test,2018-06-08,original
eclipse,xtext-website-publish,2022-10-24,original
jflopezfernandez,xtextutils,2019-02-21,original
AlanQuadros,xtextlpmangan,2018-03-21,original
akademia,ontouml-xtext,2011-03-01,original
OezzyB,e-portfolio-Xtext,2018-05-19,original
pablitar,firewall-xtext,2013-06-26,original
zinon,xtextminer,2020-06-10,original
mustafa231,xtexteditor,2021-01-04,original
MOSafely,xtextrepo,2022-04-05,original
sahrmann,xtext-json,2017-08-08,original
LorenzoBettini,xtext-domain-model-guice-5,2021-05-20,original
BlackBeltTechnology,karaf-features-eclipse-xtext,2019-04-28,original
vashchenkov,xtext-samle,2018-10-17,original
germono,FormXtext,2020-06-02,original
santoshdeshpande,wwf-xtext,2011-07-19,original
ShrawanBK,xtext_salestransaction,2022-02-06,original
t-buss,mgpl_xtext,2017-01-18,original
szschaler,henshin_xtext_adapter,2018-06-20,original
kuniss,Aqua,2014-12-25,original
Scholvac,EclipseTaskJuggler,2015-08-03,original
efuentesp,Xtext-UCS,2018-05-29,original
rainerschuster,sygus-ide,2016-08-20,original
wibeck,testXtext,2019-05-27,original
msun68,xtext-examples,2020-01-21,original
xTexturedxx,xTexturedxx,ERROR,ERROR
HexXText,HexXText,2022-05-03,original
Gricel-lee,Xtext-Maven,2023-08-15,original
kolchanov,org.xtext.example.mydsl.parent,2020-02-19,original
Communote,communote-restws,2016-06-27,original
EvdokimovMaks,xtext-expressions,2019-12-11,original
Sorokatov,xtext-demo,2020-04-30,original
JoostvanPinxten,SDF3-editor,2015-02-24,original
atanaka,experimental-rmodp-dsl,2012-05-13,original
r4mtor,xtext-talks,2018-05-08,original
nbhusare,xtext-playground,2020-09-02,original
kokostino,xtext_kokomodel,2021-08-29,original
leolimasa,reqlang,2014-07-14,original
helunwencser,PAOC,2014-12-24,original
lahirugayanga,xtext-projection,2018-12-28,original
daniel614,xtext-webapp,2018-06-17,original
Spiderixius,DSLIndividualXtext,2018-05-18,original
rainerschuster,tlsf-ide,2016-08-21,original
rainerschuster,asdl-ide,2017-05-03,original
torosky,Libreria-Xtext,2018-02-22,original
MaxiEckert,Xtext-example,2018-05-27,original
as500,xtext-rpgle,2019-06-24,original
JavierOramas,AudiXText,2020-11-28,original
xtext,xtext-monorepo,2023-03-06,original
vjordan,Xtext_browser,2019-03-20,original
Yop-La,xtext_project,2019-03-18,original
JesterOrNot,Gitpod-XText,2020-05-18,original
eclipse,xtext-archive,2023-03-06,original
Lethalaric,xtext-learning,2023-08-01,original
DSIE2,tr.xtext,2018-06-25,original
ShivaniBali,Theia-Xtext,2018-03-13,original
kthoms,xtext-webinar,2018-06-18,original
jonathankoehn,entitygenerator,2016-12-22,original
zhanglin2018,learnXtext,2019-06-03,original
seebgar,Xtext-Projects,2020-02-27,original
marcusphi,polopoly-dsl,2012-04-28,original
AbQadirr,dialogXtextflow,2023-12-29,original
stolorz,RankPL-EclipsePlugin,2017-03-31,original
arockiaraj1994,xtext-mvn,2019-09-05,original
moein9,passXtext,2022-05-11,original
saivarunr,xtext-editor,2018-01-24,original
JesterOrNot,xtext-cli,2020-01-29,original
Somiacao,xtext-web,2019-12-19,original
abieren,MDSD-Xtext-Project-for-JavaFX,2020-01-18,original
LIONant-depot,xtexture_compiler,2021-09-30,original
tchebs,xtext-example,2018-10-04,original
ballcoach12,xtext_samples,2018-02-16,original
AssaX0,MDSE-xtext,2021-06-01,original
samples-projects,sample-xtext,2019-02-03,original
karthik137,xtext-demo,2020-05-13,original
MDE-Course-23-24,SIRIUS-XTEXT,2023-12-13,original
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2021-04-13,original
laurocesar,xtext-domainmodel,2021-05-14,original
Yahaya12,Xtext-project,2021-09-15,original
malhxr,SpeechXtext,2022-06-06,original
stanimirovv,xtext-extractor,2022-03-16,original
3m3k3,xtext-congen,2023-04-09,original
uqbar-paco,firewall-dsls-externos-xtext,2013-11-22,original
Mehdi23,FlexoModelingLanguage,2013-07-20,original
tmtron,ex.xtext.twog,2018-01-27,original
sbrocard,statemachine-generator,2015-03-02,original
Webastronaut,mgpl,2019-02-05,original
adrianrutle,PCS953-EMF-Exercise,2019-03-08,original
magick93,xtext,2019-02-12,original
yamen-njm,IotXtext,2019-01-09,original
blue995,xtext-orm,2018-06-20,original
epsilonlabs,emc-xtext,2022-01-13,original
katmatt,graphql-xtext,2020-11-02,original
lvanzeun,ulm-xtext-test,2018-07-24,original
purerstamp,N7.compilateur,2018-09-07,original
jaedabee,xtext-gradle-test,2020-04-13,original
MassiBelaid,M-langeuse-Xtext,2020-11-29,original
HouseBuilder-MDE,HouseBuilder-Xtext,2021-07-15,original
random-eclipse,nix-eclipse-xtext,2018-04-16,original
meta-doodle,Xtext_Gradle_Test,2020-02-19,original
coffeeframework,HLVL,2020-10-07,original
MaximilianKoestler,vscode-xtext-links,2020-11-03,original
AhmedEssam2212,xText-Editor-,2021-01-04,original
adrinerDP,DSL-with-Xtext,ERROR,ERROR
cdietrich,xtext-domainmodel-ls,2023-02-10,original
tmtron,ex.xtext.ml,2018-02-26,original
andrewsandu,xtext-web-example,2018-07-27,original
pngowda,xtext-build-tools,2018-12-03,original
SharkJ,xtext-dsl-sample,2018-11-30,original
hammedb197,team-hacktive-xtext,2019-07-08,original
SimonCockx,xtext-monaco-example,2022-10-31,original
mister-walter,xtext-folding-issue,2023-10-23,original
alexvolh,xtext-xml-grammar,2018-10-04,original
SharkJ,my-theia-xtext,2018-11-21,original
bogdanvuk,xvhdl,2015-08-04,original
vjordan,Xtext_directory-file,2019-03-20,original
JosBouwhuis,xText-DSL,2019-05-24,original
CS130-W20,assignment-2-xtext,2020-02-26,original
lunifera,xtext-jvmtypeprovider-standalone,2023-01-28,original
bobbyfisher1,eclipse-workspace,2018-05-02,original
dsl-course,xtext-entities-tutorial,2020-03-09,original
Highbrainer,xtext-pde-target,2024-01-30,original
jonev,HTTP-REST-test-DSL,2020-12-06,original
XIECHO,qingo_xtext_documentation,2019-12-13,original
FariSoftware,xtext-problem-matcher,2021-04-08,original
ShrawanBK,xtext.sales.transactions,2022-02-06,original
Lzgpom,xtext-gen-extension,2022-06-23,original
drkstr101,Domainmodel,2020-04-30,original
vinicius0197,expressions-dsl,2020-04-30,original
LorenzoBettini,xtext-xdoc-releases,2021-04-02,original
KarstenWilken,xTextForum,2018-11-19,original
S-wald,xtext-plugin-gradle,2022-11-12,original
lahirugayanga,xtext-example-dsl,2018-12-03,original
cdietrich,xtext-fragment-experiments,2021-09-29,original
cdietrich,xtext_bug_1974,2021-10-05,original
bergmanngabor,xtext-railmap-demo,2018-10-25,original
mchlrch,xtext-intro-bfh,2018-12-10,original
EvdokimovMaks,xtext-example-entities,2019-10-10,original
cipek,MyFirstXText,2019-06-13,original
pngowda,xtext-ci-libs,2019-02-08,original
paulvberlin,BaSiriusXtext,2019-02-19,original
rainerschuster,yacc-ide,2016-08-24,original
frademacher,xtext-jpms-test,2022-03-02,original
xtext,xtext-monorepo-lfs,2023-03-06,original
LorenzoBettini,xtext-build-utils,2020-01-27,original
cdietrich,xtext-two-dsls,2023-12-29,original
balazsgrill,xtext_bug508518,2018-07-24,original
Tim-S,xtext-valueconverter-example,2018-08-16,original
ayakurtam,xText-Editor,2021-01-05,original
elite-se,elite-se.xtext.languages.plantuml,2020-07-09,original
xtext,xtext-orbit-replacement,2022-04-08,original
fedorov-vk,xtext-xcore-sample,2023-12-11,original
gustavotemple,mo631xtext,2019-11-26,original
Tim-S,xtext-mapbasedscope-example,2018-07-05,original
shakenetwork,xTextHandler,2020-03-08,original
GabrielBozza,ProjetoXtextPFC,2021-09-05,original
HexXText,HexXTextSMP,2022-05-03,original
snarkipus,xtext-dsl-book,2022-07-30,original
fedorov-vk,xtextxtend-book-examples,2023-04-24,original
ArneDeutsch,xtext-gradle-example,2018-08-07,original
oliver-reinhard,xtext-ppt-demo,2019-02-16,original
tpluscode,xtext-completion-nullpointer,2019-07-19,original
idiomaticsoft,sbt-xtext-plugin,2019-12-23,original
vinicius0197,metacrysl,2020-05-27,original
ubx,openair,2011-03-21,original
kulcsii,xtext-railmap-theia,2019-11-27,original
NiccoMlt,xtext-showdown-grammar,2020-04-28,original
NinjaArmy,xtext-language-server,2022-02-10,original
jnt0r,xtext-npe-reproducable,2023-06-11,original
szarnekow,mongoBeans,2012-06-06,original
cs130-w21,statemachine,2021-02-05,original
csbc92,MDSE-assignment3,ERROR,ERROR
ghillairet,org.example.mydsl.parent,2018-10-12,original
antoine-morvan,caph-java-parser,2019-04-18,original
abatti,XTEXT_FACPL3_PreserveVarious,2018-06-15,original
tfLabs,xtext-languageserver-example-duplicator,2020-12-23,original
LorenzoBettini,xtext-maven-plugin-example,2021-06-21,original
cdietrich,xtext-eclipse-issue-1009,2019-03-18,original
patrickneubauer,UoY-MODE-XTEXT,2018-10-08,original
mdsd-team-1,photos-xtext,2019-06-18,original
cdietrich,theia-xtext-vscode-example,2020-09-14,original
cdietrich,j9-tycho-xtext,2018-01-09,original
loradd,xtext-lsp-ecore-support,2019-09-30,original
nnn911,LaTeXTextOverlay,2024-02-09,original
IbanezGio,VuC,2018-01-30,original
KasperGam,IGESImport,2016-06-22,original
ShahimEssaid,com.essaid.model.xtext,2023-11-13,original
gon10,EclipseRepoTese,2018-08-15,original
max-leuthaeuser,jmhmathexample,2018-10-10,original
tshoang,WhitespaceIDE,2023-10-26,original
seebgar,MISO4202-proyecto-xtext,2020-04-19,original
NiccoMlt,xtext-15-minutes-tutorial,2020-04-21,original
SharkJ,theia-xtext-extension-test,2018-11-19,original
jku-win-se,JsonBasedXtextGrammar,2021-04-23,original
altran-mde,xtext-sirius-integration.io,2018-10-16,original
cdietrich,xtext-core-issue-1835,2022-02-19,original
Zaki-Fadlan,xtext_getting_started_skilledup,2023-07-18,original
thlaegler,edilang,2022-04-19,original
rudi,xtext-emacs-lsp-demo,2021-05-01,original
fedorov-vk,apds_prototype,ERROR,ERROR
test-editor,test-editor-xtext-gradle,2018-10-04,original
Ixgauth,perspectiveDSL-Sirus-Xtext,2021-03-16,original
keve98,SzakD_xtext_xtend,2021-05-03,original
silvergl,xtext-headless-rcp-example,2022-05-06,original
reinaqu,bpmnFromXtextDSL,2022-07-16,original
xtext,xtext-p2-orbit,2018-08-29,original
dsl-course,xtext-tutorial-turku-interim,2020-03-30,original
tfLabs,xtext-lsp-validation-anyway,2020-10-20,original
BalzGuenat,xtext-bug-minimal-example,2018-03-07,original
dmfullstack,org.xtext.example.mydsl,2019-07-12,original
zhou-jg,tefler,2015-06-23,original
cdietrich,xtext-languageserver-example-simple,2021-10-18,original
msntts,Xtext-Standalone-fat-jar,2022-01-16,original
oldulov,cfeditor,2018-01-25,original
LorenzoBettini,xtext-type-errors-examples,2018-06-29,original
claudenirmf,OntoUML-2.0-Xtext,2018-04-04,original
Mehmetcanss,example_xtext_language_server_vscode,2019-01-11,original
lidochca,xtext.skip.build.before.rename,2020-01-22,original
cdietrich,xtext-maven-plugin-coverage-example,2021-06-25,original
Kevin-Philip,TP_etudiant_Compilax,2019-05-29,original
bproenca,mpti-dsl,2021-11-14,original
tshoang,BareBonesIDE,2023-10-26,original
tareklel,PDFtoText,2020-04-04,original
TVTower,TVTBlitzmaxEditor,2020-12-16,original
cdietrich,xtext-multi-dsl-manual-metamodel,2021-06-14,original
hallvard,xost,ERROR,ERROR
davidmpaz,log-book,2023-03-05,original
oliver-reinhard,xtext-scoping-default-imports-demo,2019-05-23,original
szarnyasg,sql-pgq-xtext,ERROR,ERROR
MISO4202,uniandes.mdd.example.create-xtext,2019-02-15,original
NaoMod,XText-Language-Server-in-VSCode,2022-02-17,original
protossoftware,ReqText,2016-06-24,original
cdietrich,simple-xtext-parallel-load-example,2021-06-07,original
bobbyfisher1,expressions,2018-05-16,original
vztpv,ClauTextWithEclipse,2017-11-24,original
tfLabs,xtext-n4js-lsp,2020-09-27,original
yishakabreham,mde.sales.transactions.xtext.4,2022-02-06,original
Rajesh2015,DSL-using-Xtext-and-Xtend,2018-03-30,original
cdietrich,xtext-lsp-tests-with-tycho,2021-11-25,original
CarlosAsrc,Reconhecedor-scheme,2019-03-29,original
oliver-reinhard,xtext-scoping-default-namespaces-demo,2019-02-16,original
TVTower,TVTDatabaseEditor,2021-04-07,original
Tim-S,ReqLNG,2017-05-02,original
mzaks,petrinet_dsl,2011-07-17,original
sumeetchhetri,faugjs-eclipse-plugin,2019-05-14,original
JensBAndersen,PolicyLanguage,2019-04-11,original
GlancingMind,xtext-lsp-missing-deleteFile-impl,2023-05-06,original
zmy3036190149,theia-xtext-pf-v1-backup,ERROR,ERROR
MDSDLab,mdsd-2023-lab2-xtext-xtend,2023-09-22,original
tshoang,XMarking,2018-05-28,original
SimonCockx,xtext-assertAllWhitespaceIsFormatted,2023-01-18,original
tombk556,SF_Factories_Beleg2324_Xtext_DSL,2024-01-10,original
DonatasC,CodeGeneration,2018-01-21,original
NSaitoNmiri,toppers_cfg_xtext,2019-05-24,original
zs6jce,x400-xrpgle,2018-07-18,original
cyrilnavessamuel,TripManagment,2018-06-07,original
paullewallencom,xtext-xtend-978-1-7864-6496-5,2020-12-06,original
osarenogae,fault_trees_textual_editor,2021-04-13,original
vorburger,xtend-StackOverflowError-issue461,2018-06-01,original
JoaoMAlmeida,projetoCompiladores18-2,2018-10-18,original
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,2021-04-13,original
vks2106,domain.model,2022-01-17,original
metafacture,metafacture-flux,2020-11-13,original
mrtnstn,example-script-language,2018-04-19,original
Michel-Nassalang,eclipse_workspace,ERROR,ERROR
varadbal,FunPL,2018-08-27,original
kecksk0enig,vuc-xtext,2018-01-16,original
EightPillars,NmtranEditor,2018-06-19,original
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,ERROR,ERROR
ooaa30,Wail,2020-08-17,original
rainerschuster,jdl-ide,2016-08-07,original
mischnic,bachelors-thesis,2022-03-16,original
cs130-w22,statemachine,2022-01-03,original
evandor,skysail-prototypr-dsl,2016-09-15,original
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,2021-11-30,original
mdsd-team-1,domain-specific-language,2019-06-10,original
PalladioSimulator,Palladio-Editors-VSCode,2020-02-25,original
nils-christian,xtend-active-annotation-issue,2018-12-10,original
modicio,feature-dsl-tools,2023-05-12,original
HBuender,Aim42Visualizer,2019-05-16,original
scanyboss,ide-yourdsl,2018-10-20,original
spirvdev,dumpsymb,2022-07-15,original
adautofbn,pascal-xtext,2018-10-18,original
agonzalezgaliana,mydsl-language-server,2022-02-25,original
codezork,DSL-Blog,2019-10-26,original
LorenzoBettini,issue-2000-example,2022-11-15,original
bogdanvuk,xrst,2015-07-19,original
scanyboss,hello-world-language,2019-04-09,original
joerg-holtmann,Pretty-Printer_Language-Analysis,2021-11-25,original
nakul02,sysml.dml,2015-12-18,original
HermanPeeren,eJSL-MPS,2021-12-10,original
matheuslenke,Xtext-UML,2021-09-21,original
mdsd-team-1,dsl-layered-style,2019-06-10,original
larissafiorini,t2-lingProg,2018-04-06,original
ragben,NetzDsl,2018-01-06,original
EricssonPlant,plantuml-xtext-light,2015-06-11,original
gyaltso,Eclipse-Training-Schedules,2020-01-17,original
wzurborg,xtend-example,2020-04-07,original
alexwatts,xtext-j2ee-dsl,2015-03-23,original
oyse,jetson,2010-11-05,original
dsanmartins,Entidades,2020-11-04,original
evansnicholas,yaxpath,2014-03-09,original
jonaslagoni,JSON-Schema-to-internal-DSL,2020-04-02,original
robinguill,DSL_UML_INSA,2021-02-08,original
DedalArmy,SpringDSLJava,2018-10-24,original
Vallenstein,xtext_web,2020-10-09,original
nkonev,CalcXtext,2013-09-29,original
casino-mdd,DSL,2019-06-18,original
fayssalElAnsari,Kotlin-Meta-Model,2023-03-09,original
Wilson008,GrammarGenerator,2024-02-04,original
lowcomote,DBML-to-ER,2022-11-17,original
agentlab,PowerLoomDSL,2017-01-23,original
ryangarvey,mde-spec,2021-02-12,original
bfMarcelino,SchemeLP,2019-03-29,original
henriklange,ifcBrickConvert,2018-04-25,original
Virtlink,paplj-xtext,2017-02-20,original
claudenirmf,TPTP-Editor,2019-03-08,original
UnBCIC-TP2,Oberon-XText,2021-04-22,original
henriklange,ifcBrickConvertDsl,2018-04-25,original
PikaQin,XModel-Code-Converter,2020-06-16,original
helloyaqin,XModel-Code-Converter,2020-06-16,original
Garlo13,CEPStaticAnalysis,2018-07-05,original
Frederic-Boulanger-UPS,MiniARM-feature,2022-07-30,original
sderrien,Uclid-editor,2021-01-16,original
MDEGroup,metatemplating,2021-02-24,original
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,2022-12-13,original
grammeaway,math-interpreter-dsl,2021-03-25,original
ahmedsaleh1998,concept_project,2021-01-04,original
Chaimaa-Louahabi,Model-Driven-Engineering,2021-03-04,original
augustin-rialan,IDM,2019-12-18,original
MisbahAwan,SeamlessRuntimeTransformations,2022-05-17,original
ProjetoDSL,CanopusDesign,2019-04-05,original
Ryuzaki101,Workbench,2023-04-22,original
eclipse,xtext,2011-04-01,original
eclipse,xtext-core,2016-05-31,original
eclipse,xtext-xtend,2016-05-31,original
eclipse,xtext-eclipse,2016-05-31,original
eclipse,xtext-extras,2016-05-31,original
eclipse,xtext-web,2016-05-31,original
xtext,seven-languages-xtext,2012-06-12,original
eclipse,xtext-maven,2016-05-31,original
eclipse,xtext-lib,2016-05-31,original
xtext,maven-xtext-example,2013-11-22,original
seebk,LaTeXText,2017-10-23,original
cdietrich,xtext-languageserver-example,2016-06-29,original
eclipse,xtext-idea,2016-05-31,original
adamschmideg,coffeescript-eclipse,2011-11-02,original
fanghuixing,XtextApricot,2013-10-06,original
xtext,xtext-gradle-plugin,2014-03-05,original
LorenzoBettini,packtpub-xtext-book-2nd-examples,2016-06-17,original
PrinceMei,xTextHandler,2016-06-19,original
LorenzoBettini,packtpub-xtext-book-examples,2013-08-01,original
theia-ide,theia-xtext,2017-05-08,original
svenefftinge,xtext-lsp-workshop,2017-06-12,original
ObeoNetwork,Xtext-Sirius-integration,2011-07-07,original
dslmeinte,Xtext2-DSLs,2011-07-20,original
mlanoe,x-vhdl,2014-12-29,original
sergiowebo,RaspduinoDSL,2014-05-11,original
eclipse,xtext-umbrella,2016-11-18,original
danieldietrich,xtext-protected-regions,2011-09-23,original
xtext,xtend-gradle-plugin,2014-02-25,original
aphethean,xtext-maven-examples,2012-10-02,original
ckulla,xtext-tycho-example,2012-01-22,original
vorburger,xtext-sandbox,2012-06-11,original
basilfx,xtext-standalone-maven-build,2017-05-22,original
JakeGinnivan,XText,2012-08-04,original
OLibutzki,xtext.tools,2013-11-22,original
majordomo,majordomo,2013-02-08,original
LorenzoBettini,Xtext2-experiments,2011-11-21,original
eclipse,xsemantics,2013-10-22,original
xtext,xtext-reference-projects,2017-12-14,original
efuentesp,xtext-cobol,2020-12-04,original
dr-jam,ABL-XText,2022-11-12,original
fuinorg,emt-xtext-archetype,2013-10-04,original
eclipse-soc,amalgamation-examples-xtext,2011-08-14,original
kthoms,xtext-experimental,2011-12-08,original
dsldevkit,dsl-devkit,2016-09-14,original
itemis,generator-xtext,2017-04-05,original
att,yang-design-studio,2015-10-28,original
martinbaker,xtextadd,2014-11-16,original
OliverScherf,MGPL-Xtext,2017-12-20,original
hachreak,dmss.pouex.xtext,2014-05-01,original
vladdu,xtext.unittesting,2015-04-17,original
slizaa,slizaa-opencypher-xtext,2016-10-04,original
xpomul,cdo-xtext,2014-01-23,original
mark-christiaens,Xtext-Models-Stats-View,2011-05-27,original
TypeFox,xtext-jflex,2016-05-09,original
vorburger,eclipse-typescript-xtext,2013-11-15,original
patrickneubauer,XMLText,2015-06-25,original
xtext,org.xtext.antlr.generator,2010-08-26,original
boalang,xtext-ide,2015-10-29,original
pen-zhang,online_elm_xtext,2021-01-25,original
veraPDF,veraPDF-model-syntax,2015-05-05,original
TypeFox,languageserver-example,2016-06-13,original
josros,boby,2016-10-17,original
stephanrauh,JSFLibraryGenerator,2015-06-05,original
loonwerks,jkind-xtext,2013-09-04,original
TatyPerson,Xtext2Sonar,2016-04-04,original
TypeFox,xtext-vscode,2016-05-04,original
svenefftinge,Xtext-Workshop-Development-Workspace,2011-07-04,original
cdietrich,xtext-uml-example,2015-06-09,original
cdietrich,xtext-maven-example,2013-12-30,original
Remypoc,CmooSimpleJ,2016-12-05,original
borgar,xtexts,2017-09-23,original
christopherosthues,mgpl-xtext,2018-04-18,original
dslmeinte,Xtext1-DSLs,2011-03-31,original
applause,applause,2011-03-16,original
LorenzoBettini,ecefrance2015-xtext-example,2015-06-25,original
jcmm33,DirectXTextBlock,2015-02-11,original
dhuebner,xtext-apidiff,2015-07-21,original
