owner,repo,created_date,repo_type
appdev,XTextView,2015-09-15,original
oehme,xtext-maven-example,2014-08-07,original
SMadani,ThriftMDE,2016-08-23,original
xtext,xtext-external-editors,2015-12-16,original
itemis,xtext-generator-vscode,2016-07-21,original
soluvas,ecommerce-sample,2011-11-01,original
tianguanghui,xTextHandler-objc,2016-09-19,original
meysholdt,xtext_stateful_lexer,2012-06-04,original
holgerschill,XtextCon_Xcore_Maven,2015-05-12,original
scottopell,vim-xtext,2015-12-07,original
itemis,xtext-debug-example-no-xbase,2017-11-23,original
TypeFox,Xtext-XMI,2017-07-06,original
joergreichert,XtextPlayground,2012-04-30,original
wuwen1030,XTExtension,2016-06-23,original
eventB-Soton,XTheory,2018-05-26,original
JanKoehnlein,EclipseCon2013_XtextTutorial,2013-03-19,original
marnix,metamath-eclipse-xtext,2015-09-26,original
Modaptix,xtext-expressions,2015-09-03,original
arturboronat,xtext.domainmodel,2016-09-23,original
otrosien,xtext-perl,2016-05-26,original
cmendible,Hexa.xText,2011-07-18,original
SOM-Research,graphQL-xtext-grammar,2017-03-22,original
andrearn,org.fornax.soa.xtextservicerepository,2011-03-04,original
ujhelyiz,xtext-reflective,2012-02-15,original
szarnekow,xtextcon-xbase-example,2014-05-21,original
DonRenando,xtext,2015-11-12,original
cdietrich,xtext-languageserver-xbase-example,2016-08-11,original
test-editor,deprecated-test-editor-xtext,2015-05-06,original
awk-kazmin,eclipse_1C_xtext,2015-04-15,original
svenefftinge,fowlers-statemachine-with-expressions,2012-05-07,original
copton,XTextExamples,2010-07-09,original
GeekBugs,XTextView,2017-09-24,original
akosyakov,org.xtext.example.mydsl.idea,2014-07-14,original
Jaddison011,C4EventB,2023-03-06,original
HBehrens,Xtext2Workshop,2011-07-11,original
GrupoHunter,Kukuroo,2013-11-30,original
itemis,xtext-languageserver-example-lsp4e,2016-12-07,original
fatalerrortan,Xtext_Xtend_HTML_Generator,2017-04-20,original
spoenemann,xtext-gef,2015-03-27,original
LinguaPhylo,linguaPhyloDSL,2021-03-19,original
jhonatan89,gen-angular-grammar,2017-08-11,original
LorenzoBettini,jbase,2015-12-02,original
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,2013-02-26,original
Buggaboo,xplatform,2014-03-31,original
cmark,androtext,2011-11-19,original
svenefftinge,homeautomation-example,2014-09-24,original
kainzpat14,xtext-plsql,2022-02-23,original
janesser,frege-xtext,2016-05-22,original
szarnekow,org.eclipse.e4.xcss,2010-10-22,original
LorenzoBettini,xtext-scoping,2012-05-29,original
JanKoehnlein,ESE-2010-Tutorial,2010-10-20,original
spoenemann,xtext-orion,2015-06-24,original
ryanignatius,CheckerDSL,2015-04-21,original
trichterwolke,init,2018-11-20,original
erlide,erlide_xtext,2012-02-27,original
cdietrich,xtext-forum-support-example,2016-11-16,original
ESIR2Compilation,Langage-WHILE,2015-11-09,original
mattsse,xtext-fipa-acl,2018-03-15,original
Sofiane-13,tutorialXtextSirius,2017-05-18,original
eclipse-soc,amalgamation-examples,2011-05-13,original
dvdkruk,xtext-xsd-resourceprovider,2015-11-17,original
kyberszittya,simple-ros-code-generator,2020-05-05,original
JanKoehnlein,Xtext-Syntax-View,2010-08-29,original
planger,xtext-uml-experiment,2016-09-27,original
raglu,ExternalDSL-xtext,2021-04-20,original
uppaal-emf,uppaal-xtext,2022-12-04,original
drnappalm,xtext,2014-04-17,original
svenefftinge,Xtext-Workshop-Runtime-Workspace,2011-07-04,original
martijndwars,XtextXT,2015-08-27,original
nahni,xtextTessla,2017-09-06,original
baidty,xtextLearning,2016-04-11,original
MoayadHn,XtextBDI,2015-11-08,original
fzalila,XtextExperiments,2015-12-07,original
Girish-Venkatesh,XTextSelenium,2014-11-16,original
Vinayakatk,xtextScopes,2016-06-10,original
01Lizard10,XTextUML,2016-06-12,original
Salome-Maro,XtextUtils,2014-07-07,original
robertovillarejo,kukulkan-grammar,2018-03-02,original
mraminella,xtextTests,2017-11-08,original
Alma2015RSABSAWA,XtextLangage,2015-11-25,original
myorb,XTextParser,2015-08-06,original
Jhinnn,XTextView,2017-03-14,original
kathisai,xtextSample,2017-07-24,original
huibo-shi,XtextExamples,2016-02-05,original
osamu-k,XTextStudy,2014-02-09,original
Treehopper,XTextTemplate,2014-07-11,original
seba111,Xtext1,2013-03-18,original
shinesamjacob,XtextExample,2016-06-02,original
ajperalt,xtext,2013-11-15,original
schakko,xtext-plugin-with-maven-tycho,2013-02-13,original
colameo,xtext4roo,2015-10-24,original
vinpereira,XtextToXMI,2016-06-21,original
JanKoehnlein,XtextCon2014,2014-08-26,original
bink81,xtext-test,2016-02-24,original
xtext42,xtext42-coding,2017-03-25,original
borisbrodski,XtextBug437519,2014-11-13,original
hypery2k,xText,2011-12-15,original
borisbrodski,XtextBug453268,2014-11-26,original
Samirez,DSLs,2023-07-10,original
superxlx,XTextViewDemo,2015-05-10,original
johnBened,XtextMyDSLExample,2016-09-08,original
philiber92,XtextTestRepository,2015-09-20,original
fabienfleureau,XtextAtStackoverflow,ERROR,ERROR
yunxiaocloud,XTextFieldLimtDemo,2016-05-19,original
eclipse,xtext-gradle,2016-05-31,original
Mensmec,THESIS_XTEXT,2016-11-14,original
MacJariel,sandbox-dsl,2011-03-25,original
chetanladdha,XtextFormatingHoverSample,2017-03-28,original
ainslec,XTextCustomLexerExample,2013-04-14,original
hem28,DSL_Xtext2.3,2012-09-04,original
HBuender,XtextAndSiriusIntegration,2017-10-07,original
meysholdt,EclipseCon2014_XtextTutorial,2014-10-09,original
jaimedelgado,Xtext,2015-03-25,original
chris125964,xtext,2014-10-16,original
bujosa,smart-dsl,2023-07-01,original
martijndwars,Xtext,2015-04-27,original
ozkandemir,XText,2014-01-12,original
johnahfong,xtext,2015-10-26,original
Mensmec,Xtext,2016-11-14,original
pellcorp,xtext,2016-02-02,original
Tutti91,Xtext,2015-06-11,original
ANCIT,xtext-examples,2017-07-14,original
DECENTSoftwareAssessment,dag.m1x,2015-06-03,original
rmemory,xtext,2017-03-30,original
deb-sandeep,com.sandy.xtext.jovenotes.tests,2015-06-03,original
yasuohosotani,Xtext,2014-04-05,original
Nika24,Xtext,2017-05-11,original
BenediktNiehues,de.nie.fin,2012-10-26,original
AlexElvers,XText,2014-05-12,original
lakzso,xtext,2016-02-23,original
seba111,Xtext,2013-04-20,original
MacJariel,xtext,2011-03-12,original
tmtron,xtext.15minTutorial,2016-12-13,original
blewis13,Boxes,2016-01-01,original
DECENTSoftwareAssessment,famix.m3x,2015-06-03,original
dslmeinte,SimScript,2012-10-21,original
webdaford,aqleditor,2015-03-09,original
goldschmiede,2012-02-03_dsls_mit_xtext,2013-01-21,original
kthoms,org.eclipse.xtext.example.domainmodel,2011-07-08,original
Reitzner,xtextmaven,2016-03-03,original
hectorsun,xtextonboost,2016-05-16,original
duck2,xtextbg,2016-11-16,original
Xpitfire,xtext-dnn,2016-12-03,original
ceefour,glproto,2011-09-23,original
DECENTSoftwareAssessment,dag.m1x.tests,2015-06-03,original
jcabot,WordPress-Plugin-DSL,2019-02-11,original
davidmpaz,php.ware.web.ui,2011-04-29,original
DanielWeber,xtextext,2010-10-04,original
fzalila,xtextfsm,2017-05-25,original
DECENTSoftwareAssessment,dag.m1x.sdk,2015-06-03,original
jgoppert,xmodelica,2016-05-11,original
Vinayakatk,xtextgeneratetest,2016-02-18,original
stefano-bragaglia,Kinect-ECE-XText,2013-09-27,original
DECENTSoftwareAssessment,dag.m1x.ui,2015-06-03,original
viatra,viatra-evm-xtext,2015-12-08,original
Cosimo5lli,assertx-swing,2018-05-03,original
atb,pt.isep.dsl.puml,2019-12-19,original
benzait27,Xtext.Promo,2016-11-08,original
malakeel,myDsl,2016-06-05,original
npalix,org.eclipse.xtext.example.arithmetics,2016-12-08,original
sormgabriel,textual_verduler,2015-10-31,original
ekowahyudi,examplextext,2012-11-07,original
DECENTSoftwareAssessment,famix.m3x.ui,2015-06-03,original
nakul02,sialx-xtext-ide,2014-06-19,original
kduske-n4,DomainModel,2016-09-12,original
Infoly,SmallJava,2017-01-22,original
inakuhn,de.htwg.mdse.setgame.entities.parent,2017-06-10,original
merks,Xcore,2011-08-02,original
DECENTSoftwareAssessment,famix.m3x.tests,2015-06-03,original
SciSpike,yaktor-dsl-xtext,2016-05-27,original
meysholdt,xtext_examples,2014-05-14,original
manuelleduc,xtext-lib,2017-12-20,original
xarvey,atom-xtext-package,2015-10-03,original
LolloCorte,bpel-xtext,2016-03-09,original
sciolizer,xtext-sandbox,2016-02-09,original
denschu,xtext-whitespace,2012-03-01,original
pablitar,claseXtext,2012-11-03,original
DECENTSoftwareAssessment,famix.m3x.sdk,2015-06-03,original
tdegueul,xtext-composition,2014-07-03,original
danieldietrich,xtext-javatools,2013-01-16,original
Hellmy,plantuml-eclipse-xtext,2015-07-20,original
efuentesp,codebuilder-xtext,2016-07-09,original
zrrk,xtext-utils,2015-06-08,original
juli1,xtext-debug,2015-05-22,original
nbhusare,Xtext-sandbox,2014-07-11,original
jachinte,xtext-grammars,2016-02-19,original
susieagerholm,XTEXT_EXAMPLE,2017-04-29,original
itemis,monaco-xtext,2017-01-26,original
xiaoyvr,xtext-demo,2013-03-23,original
hmc-cs111-fall2015,picobot-XText,2015-11-18,original
yanntm,Xtext-Light,2017-05-20,original
quendimax,libXtextcursorchanger,2012-03-02,original
Ikraminfo,GrammaireXtext,2017-04-21,original
nickeeyyoo,xtext_project,2016-03-16,original
marinamygithub,xtext_project,2016-05-02,original
lukashaertel,xtext-xgen,2014-05-20,original
fmca,xtext-typesystem,2015-05-30,original
almazhou,xtext-demo,2014-07-21,original
Huluvu424242,xtext.example,2016-04-29,original
kiddochan,xtext-typesystem,2016-02-13,original
mmalohlava,ppXtext,2012-07-18,original
ponta027,xtext_practice,2015-05-12,original
bhdrkn,Xtext-Examples,2011-10-20,original
fatalerrortan,Xtext-examples,2017-04-27,original
gcr-nist,runtime-Xtext,2016-08-16,original
fBrx,language-xtext,2014-12-05,original
ilya-klyuchnikov,sll-xtext,2014-01-26,original
vonbolt,Xtext_test,2015-06-03,original
rytina,xtext-typesystem,2015-08-27,original
philiber92,xtext-utils,2015-09-09,original
thomasfischl,xtext-workshop,2013-10-24,original
jbadeau,ng-xtext,2016-10-12,original
qxe35v,xtext_encoding_dsl,2018-03-14,original
szarnyasg,gradle-xtext,2016-10-30,original
malbac,Xtend_Xtext,2015-04-26,original
gitpan,Convert-XText,2014-10-24,original
rmemory,xtext_eclipse,2017-03-30,original
UnibgInfo3A,ebnfworkbench,2016-11-18,original
lukashaertel,xtext-xtestgen,2014-07-12,original
zhangyuanqiao,selenium-xtext,2016-05-20,original
cooked,modelica-xtext,2016-02-16,original
RobertWalter83,DialogScriptDSL,2013-09-15,original
hamza-abed,JSEditorXtext,ERROR,ERROR
nileshrege,El,2013-03-15,original
kwanggy,xtext-sublime,2015-12-09,original
thicket-lang,thicket-xtext,2015-10-06,original
agentlab,xtext-web,2016-07-08,original
test-editor,xtext-dropwizard,2017-06-30,original
kecskesk,xtext-menetrend,2017-09-30,original
ftrifin,xtext-utils,2015-07-17,original
scottopell,xtext_utils,2015-11-19,original
lukashaertel,xtext-fsml,2013-11-28,original
fedorov-vk,apds_dsl,2023-04-15,original
Modaptix,xtext-utils,2015-09-03,original
itemis,xtext-issues,2016-09-09,original
holzem,xtext-lexertrace,2017-11-20,original
victorlacorte,Tcc,2013-06-14,original
limelanguage,lime-xtext,2014-06-18,original
edgarmueller,xtext-recordmapper,2013-09-27,original
bsi-software,org.eclipse.scout.xtext,2012-09-24,original
MatzeGIT,XText-maven,2013-04-30,original
tkurita,XText.scptd,2012-05-28,original
coalae,telemed,2018-06-04,original
dvdkruk,xtext-workshop,2017-02-14,original
npalix,org.xtext.example.mde,2016-12-08,original
logicfish,XActiv,2013-10-11,original
kittaakos,webcalc,2016-10-13,original
iensen,certware-l-editor,2016-03-06,original
PAMunb,MetaCrySL,2020-07-06,original
vladimirkozhaev,casualintellect_new_wizard,2016-01-09,original
TinyScream,org.xtext.amodel,2017-07-27,original
M2TIIL2016-2017,SiteWeb_XText,2016-12-13,original
schakko,hackcamp-xtext-automotivebus,2014-06-15,original
sfinnie,xtext.scoping.adventures,ERROR,ERROR
smba,model-based-times,2015-12-03,original
fuinorg,org.fuin.dsl.cqrs,2014-04-18,original
schakko,xtext-bug-436688,2014-09-12,original
dhuebner,xtext-builddsl-tycho,2014-06-18,original
matejsp,lwc13-xtext,2015-07-02,original
ftrifin,xtext-utils.uml,2015-07-17,original
mbarbero,xtext-forms-integration,2015-05-29,original
FForw4rd,xtext-restriction-framework,2015-09-28,original
zrrk,xtext-utils.devenv,2015-06-08,original
ftrifin,xtext-utils.xtend,2015-07-17,original
svenefftinge,xtext-jaxcon-example,2014-05-13,original
LorenzoBettini,xtext-demo-laquila,2016-05-17,original
jakecobb,xtext-iris-datalog,2014-07-08,original
graph-quilt,xtext-service-dsl,2021-11-16,original
philiber92,xtext-utils.unittesting,2015-09-09,original
philiber92,xtext-utils.distribution,2015-09-09,original
phaldan,htwg-cform-xtext,2017-07-31,original
itemis,xtext-example-conplan,2017-08-31,original
LorenzoBettini,Xtext-Buckminster-Example,2012-11-11,original
LorenzoBettini,xtextcon-typesystem-example,2014-05-27,original
dhuebner,org.xtext.example.tycho,2011-08-31,original
agentlab,eclipse-orbit_xtext-web,2016-07-26,original
Tutti91,xtext_language_bla,2015-06-25,original
LeonoraG,xtext-req-editor,2016-01-18,original
xarvey,atom-xtext-autocomplete,2015-11-19,original
franzbecker,xtext-formatter-problem,2016-11-01,original
ftrifin,xtext-utils.distribution,2015-07-17,original
Fritzi,XText_TeSSLa,2017-08-25,original
madasar,booster2-xtext,2017-03-06,original
TypeFox,xtext-splitted-repo,2016-06-12,original
zrrk,xtext-utils.uml,2015-06-08,original
zrrk,xtext-utils.xtend,2015-06-08,original
ftrifin,xtext-forms-integration,2015-07-17,original
JanKoehnlein,fxdiagram-xtext-examples,2017-09-06,original
joergreichert,Cool,2014-04-27,original
rju,xtext-typing-example,ERROR,ERROR
philiber92,xtext-utils.xtend,2015-09-09,original
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,2016-06-03,original
zrrk,xtext-utils.distribution,2015-06-08,original
Johanvdberg,mcrl2.xtext,2017-01-26,original
kryptonite22,rsbac.xtext.dsl,2017-08-01,original
tkleszczynski,jug-zgora-xtext,2015-11-27,original
philiber92,xtext-utils.devenv,2015-09-09,original
jeffmaury,devoxx2012-xtext,2012-04-17,original
YonedaMasashi,xText_Practice,2015-03-31,original
jackqq,xTextEdit,2016-05-17,original
ftrifin,xtext-utils.unittesting,2015-07-17,original
lgcardeas,xtext-forms-integration,2015-04-25,original
vrichard12,xtext-forms-integration,2016-02-24,original
itemis,xtext-monaco-example,2017-09-21,original
pabu90,xtext-ci-test,2017-03-01,original
kukulkan-project,kukulkan-language-server,2018-07-10,original
zrrk,xtext-utils.unittesting,2015-06-08,original
LorenzoBettini,xtext-index-experiments,2013-04-07,original
ftrifin,xtext-utils.devenv,2015-07-17,original
inteldict,xtext-gradle-demo,2016-09-20,original
cdietrich,xtext-multi-dsl,2017-07-17,original
Huluvu424242,rezept-dsl.xtext,2016-04-30,original
lunifera,lunifera-xtext-runtimebuilder,2014-06-13,original
sikessle,xtext-forms-integration,2015-06-03,original
priya0311,xtext-forms-integration,2015-08-24,original
philiber92,xtext-utils.uml,2015-09-09,original
talalong,dbFactoryXtext,2017-12-18,original
stackoverflowmailer,lwc13-xtext,2015-05-04,original
willy2706,if4150-xtext,2015-11-27,original
wwu-pi,acse-xtext-validation,2016-05-28,original
ProgrammableDrones,xTextLanguage,2017-03-03,original
raynair,webml,2015-02-05,original
wwu-pi,acse-xtext-gui,2016-05-01,original
peterssas,xtext-gradle-problem,2017-06-27,original
zhoumin03,xtext-forms-integration,2015-10-13,original
gcubar,CodeXcessXtext,2012-06-29,original
cdietrich,xtext-ecore-xcore,2017-07-20,original
ayoubziat,xtext_DSL_example,2017-08-31,original
xiaoyvr,xtext-demo-oxygen,2017-12-11,original
test-editor,deprecated-xtext-index-backend,2017-10-25,original
lukashaertel,xtext-technocat,2014-06-05,original
npalix,org.eclipse.xtext.example.fowlerdsl,2016-12-08,original
dslmeinte,xtext-workshop-code1,2015-03-14,original
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,2016-12-02,original
intuit,common-xtext-expression-language,2021-04-01,original
zwgirl,summer,2014-04-21,original
rymarenkosuccess,Coffeescript-Eclipse,2015-06-27,original
svenefftinge,Guice-Modules-DSL,2011-03-29,original
logicfish,XPlane,2013-10-11,original
LorenzoBettini,Xtext-Xtend-Buckminster-Example,2013-09-21,original
vorburger,eclipse-typescript-xtext-repository,2013-12-29,original
pankeshpatel,EclipsePluginForXtext,2015-11-17,original
Hellmy,plantuml-eclipse-xtext_update,2015-12-21,original
xpomul,xtext-multi-edit-example,2017-02-14,original
tmtron,xtext.eclipse.15minExtended,2016-12-16,original
deb-sandeep,com.sandy.xtext.jovenotes.ui,2015-05-14,original
ftrifin,xtext-utils.xtend1,2015-07-17,original
szarnekow,xtext-arithmetics-web-example,2015-11-19,original
wwu-pi,acse-xtext-knuth-binaries,2016-05-01,original
jwachter,xtext-serializer-issue-example,2017-08-14,original
hwong23,dsl.evtool,2021-06-10,original
camilagarcia113,xtext-dsl-obj3,2016-07-27,original
cdietrich,gradle-xtext-xtend-problem,2016-08-31,original
mzaks,FlatBuffersSchemaEditor,2015-12-03,original
svenefftinge,Xtext-LWC-contribution--Instances-,2011-04-21,original
btc-ag,service-idl,2018-03-29,original
willy2706,if4150-xtext-html,2015-11-28,original
phaldan,htwg-cform-xtext-demo,2017-08-08,original
hypery2k,Xtext-GrammarMixin-Example,2011-12-14,original
philiber92,xtext-utils.subproject-template,2015-09-09,original
zrrk,xtext-utils.subproject-template,2015-06-08,original
thowin,ituXtextLandinConfigurator,2016-12-04,original
philiber92,xtext-utils.xtend1,2015-09-09,original
claudenirmf,old-tests-on-xtext,2016-10-25,original
zouhairireda,xtext-ocl-xtend-poc,2016-09-11,original
franzbecker,xtext-serializer-parallel-problem,2016-12-14,original
lunifera,lunifera-xtext-runtimebuilder-example,2014-07-07,original
ftrifin,xtext-utils.subproject-template,2015-07-17,original
fluxtah,xtext-android-gradle-example,2015-03-31,original
hypery2k,Xtext-Maven-BuildExample,2012-10-08,original
kittaakos,xtext-eclipse-gh-238,2017-04-21,original
MatzeGIT,XText-Maven-CleanStart,2013-05-06,original
Rodolfocostapr,org.xtext.example.pascalito,2017-07-06,original
deb-sandeep,JoveNotesProcessor,2015-05-16,original
zrrk,xtext-utils.xtend1,2015-06-08,original
tanthingdeveloper3unshine,AutoCompleteXTextView,2015-06-04,original
loradd,uml-xtext-grammar-generator,2017-04-03,original
v-bashev,post_core,2021-07-07,original
vicegd,org.xtext.dsl.restaurante,2017-10-20,original
paulluap,xtext-extras-issue216,2017-12-21,original
dhakehurst,net.akehurst.example.xtext.vertx,2016-09-15,original
alvilgau,de.htwg.xtext.setGame,2016-06-24,original
arnulfo-rodriguez,XtextClosureExample,2012-02-21,original
rdurelli,com.br.refactoring.xtext.dsl,2014-04-29,original
tmtron,xtext.15minTutorial.project,2016-12-13,original
agentlab,eclipse-orbit_xtext-web-dsls,2016-10-07,original
threadedblue,org.eclipse.xtext.example.domainmodel,2016-08-16,original
cdietrich,xtext-existing-metamodel-gradle-example,2016-10-01,original
wrungel,tycho.xtext.mwe2.test,2014-01-27,original
DemidovAlexander,Xtext_MiniJava_IDE,2016-02-04,original
ftmdida,xtext_code_gen_version_2,2015-11-27,original
vaulttec,isis-script,2015-07-05,original
cdietrich,xtext-gradle-plugin-issue-60,2016-08-03,original
thowin,ituXtextLandin2Configurator,2016-12-06,original
jkouwer,basicfamily,2014-03-24,original
goldschmiede,2011-02-18_xtext_apache_wicket,2013-01-21,original
Dexels,navascript-editor,2021-02-05,original
deparlak,de.htwg.mdsd.xtext.portals,2015-05-19,original
shashwatanand,org.shashwat.xtext.smallJava,2015-08-01,original
mmalohlava,gpp-for-xtext-master-thesis,2015-03-14,original
dexz92,Integrating-Xtext-and-JavaRAG,2016-07-13,original
Rodolfocostapr,org.xtext.example.pascalitoOld,2017-07-05,original
LiamWalsh98,nusmv-xtext-lsp,2020-08-10,original
fuinorg,xsample,2013-09-29,original
florianpirchner,beantypes,2016-07-30,original
cdietrich,xtext-gradle-plugin-issue-61,2016-08-03,original
rdurelli,com.br.refactoring.xtext.dsl.ui,2014-04-29,original
threadedblue,org.eclipse.xtext.example.domainmodel.tests,2016-08-16,original
rdurelli,com.br.refactoring.xtext.dsl.tests,2014-04-29,original
shashwatanand,org.shashwat.xtext.smallJava.ui,2015-08-01,original
tmtron,xtext.eclipse.15minExtended.project,2016-12-16,original
chqu1012,MetroUiDescriper,2015-06-13,original
eventB-Soton,XUML_B,2019-01-10,original
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,2013-10-18,original
qscdfg,mybash,2016-05-20,original
eirikg,XbaseSiriusIntegration,2016-07-10,original
nohum,android-code-generation,2015-01-01,original
gvd,zest-sm,2012-03-04,original
uqbar-paco,declaratividad-orm-java,2013-10-24,original
shashwatanand,org.shashwat.xtext.smallJava.tests,2015-08-01,original
dhakehurst,net.akehurst.example.xtext.vertx.lsp,2016-09-21,original
hakimuga,BIP-language,2021-03-25,original
goldschmiede,2011-04-29_xtext_service_repository,2013-01-21,original
markusvoelter,DSLEngBook-Xtext-P3Demo,2011-05-29,original
ESIR2Compilation,PrettyPrinter,2015-11-09,original
bmael,MVCLang,2013-11-13,original
renaudhelias,MameVHDL,2015-08-11,original
felipedf,compiler,2016-01-27,original
marcotinacci,XTuring,2012-11-06,original
threadedblue,org.eclipse.xtext.example.domainmodel.ui,2016-08-16,original
joergreichert,OperationsResearch,2013-06-02,original
tommyettinger,julepp,2016-07-26,original
masters-info-nantes,SmokingText,2015-11-04,original
daniel-laszlo,temalabor,2016-12-07,original
Quingo,compiler_xtext,2020-08-16,original
vorburger,FormGeneratorPOC,2015-01-09,original
nittka,pocesl,2013-01-22,original
logicfish,POMText,2013-02-25,original
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,2013-01-18,original
jpaw,bonaparte-apidsl,2015-04-01,original
meysholdt,performance_probes,2013-04-26,original
avaranovich,megal-xtext,2014-06-07,original
trifonnt,net.adempiere.dsl.properties.spring.parent,2018-08-05,original
cokeSchlumpf,bashdsl,2018-10-15,original
ceefour,emf-sandbox,2012-06-18,original
nittka,Jtag,2017-03-05,original
mythicfreak,aomxsgrammar,2014-08-03,original
nittka,Xarchive,2016-11-06,original
rquinio,ck2xtext,2016-01-20,original
DavidFosterLuhmann,high-dim,2013-02-17,original
test-editor,deprecated-test-editor-index-backend,2017-11-14,original
sidz8690,EasyUnit,2011-12-27,original
lsotnk,lsotnk.xbase.launching,2017-12-22,original
Minres,CoreDSL,2020-09-23,original
graph-quilt,graphql-xtext,2019-11-25,original
softlang,megal-xtext,2018-04-18,original
raghvendra-v,tosca-yaml-lsp,2019-06-03,original
RvonMassow,xDoc,2010-08-25,original
N0P0x90,EclipseExamples,2016-01-21,original
martinmuellenberg,cityplanning,2012-11-27,original
newdigate,soa-dsl-scaffolding,2015-03-11,original
code-kontor,openCypher-Xtext,2019-01-04,original
nittka,ASP,2013-04-28,original
LiamWalsh98,tumlrt-language-server,2020-01-30,original
danhaywood,kemble,2013-09-09,original
schakko,bsc-thesis-documentation,2013-03-04,original
vorburger,eLang,2011-08-07,original
timeraider4u,external_jar_download,2016-11-20,original
fuinorg,org.fuin.dsl.ddd,2014-03-28,original
HolyCityAudio,SpinCAD-Builder,2015-01-20,original
sebastianbenz,xgherkin,2011-07-07,original
alexisfacques,dsl-feature-modelling,2017-12-15,original
Minres,RDL-Editor,2017-09-12,original
JPL-IMCE,gov.nasa.jpl.imce.oml.core,2017-02-20,original
PuneetPatwari,system-map-maker,2014-09-17,original
atanaka,DomainmodelWithCrossReference,2017-05-06,original
rainerschuster,eclipse-webidl,2014-12-14,original
rowlo,testdsl,2016-08-01,original
marklemay,tptpParser,2013-11-24,original
WesleyMarques,CompiladorJava,2015-06-07,original
tommyettinger,kobold,2016-06-23,original
cedricvidal,protobuf4e,2016-10-16,original
NaoMod,MiniTL,2023-02-15,original
ksza,Bicycle-Shop,2013-08-03,original
nittka,terminology,2013-02-22,original
ssi-schaefer,lcdsl,2017-02-01,original
LorenzoBettini,edelta,2017-07-14,original
deb-sandeep,com.sandy.xtext.jovenotes,2015-05-14,original
arbennett,ParserGeneratorExample,2016-02-03,original
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,2014-12-16,original
hishidama,xtext-dmdl-editor,2013-08-19,original
cwiscount,mydsl-emf-gen,2017-11-07,original
rmuecke,clinicaltrialcreator,2010-02-15,original
opcoach,datasample,2020-10-11,original
diverse-project,melange-studio,2016-04-12,original
marcotinacci,Event-Oriented-Language,2011-07-25,original
eclipse,epsilon,2022-09-26,original
marcotinacci,SwarmRobotics,2012-04-14,original
Padmar1995,gh,2017-10-24,original
,,ERROR,ERROR
