owner,repo,real_created_date,date_source
waynepiekarski,XTextureExtractor,2018-01-15,commit_based
TypeFox,theia-xtext-sprotty-example,2018-12-12,api_based
altran-mde,xtext-sirius-integration,2017-08-14,commit_based
NielsLiisberg,RPG-lexer,2019-12-03,api_based
TypeFox,vscode-xtext-sprotty-example,2020-10-07,api_based
eclipse,xtext-website,2011-07-13,commit_based
UnBCIC-TP2,Oberon-IDE,2021-05-19,api_based
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2019-05-10,api_based
resloved,xtext,2019-03-28,api_based
lurenzhangdeshuai,EmojiText-XText,2022-01-02,api_based
kuniss,xtext-ide-extensions,2019-02-23,api_based
Mabar16,xtextMath,2020-03-22,api_based
MISO4202,co.edu.uniandes.gramaticajmeter,2019-03-29,api_based
preesm,ripacola-xtext,2019-04-29,api_based
GiordanoT,ocl-xtext,2022-11-30,api_based
TypeFox,xtext2langium,2022-10-27,api_based
pen-zhang,xtext_elm_editor,2020-12-27,api_based
ravornyo,xspice,2022-03-13,api_based
OpenSextant,XText,2018-05-15,api_based
laubfall,jugh-xtext-arkanoid,2018-03-21,commit_based
khabdrick,LambdaXtextract,2022-03-11,api_based
bsati,mgpl-xtext,2021-02-01,api_based
urbanoanderson,xtext-gait-model,2019-02-20,api_based
TopXDevTeam,TopXTextUI,2023-11-14,api_based
ngreve,xtext_web,2020-03-04,api_based
nmaoez,composer-language-server,NOT_FOUND,NOT_FOUND
FAMILIAR-project,xtext-dsl-compiler-example,2020-11-03,api_based
HermanPeeren,eJSL-ANTLR4,2021-12-02,api_based
program-in-chinese,xtext_tutorial_15_min_zh,2018-01-19,api_based
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19,api_based
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-11,api_based
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18,api_based
idiomaticsoft,xtext-tips,2022-03-17,api_based
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23,api_based
MISO4202,xtext-egl-sql2java,2019-02-15,api_based
oliverablagojevic,QuestionnaireDSL,2020-07-16,api_based
hvbargen,meth,2022-04-18,api_based
zxhr,gradle-xtext-generator,2020-05-31,api_based
tmtron,ex.xtext.lsp,2018-01-19,api_based
echebbi,standalone-xtext-example,2018-02-06,api_based
darvasd,xtext-docs-gen,2018-03-31,api_based
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19,api_based
ElBilbao,DSL-Wizard-Creator,2020-08-31,api_based
Zannith,XtextTest,2018-06-15,api_fallback
AnnaLenaMeiners,XtextExamples,2021-01-02,api_based
Kerolos77,XTextEditor,2021-01-04,api_based
ScytherTool,dsl,2023-05-22,api_based
holgerschill,xtextCodebuff,2018-10-18,api_based
devzwy,XTextView,2022-01-13,api_based
mraminella,XtextExamples,2018-05-31,api_based
msntts,XtextStudy,2021-04-21,api_based
chiachong,XTextClassification,2022-02-23,api_based
vinisbranco,XtextGerador,2018-08-31,api_based
pakhopav,XtextPlugin,2021-08-11,api_based
IamRaziel,XtextTutorial,2021-05-05,api_based
dstoft,XtextWorkspace,2021-03-10,commit_based
MisbahAwan,XtextCollaborativeEnvironment,2023-12-28,api_based
pakhopav,XtextLanguage,2019-08-09,api_based
fonuhuolian,XTextView,2018-10-19,api_based
RomainLefeuvre,xtextHW,2021-11-24,api_based
BestCoderXQX,XTextFlagDemo,2018-06-26,api_based
vinisbranco,XtextTrabalho2,2018-09-05,api_based
loicperreal,Xtext,2019-01-22,api_based
goflyboy,xtextsample,2021-02-19,api_based
SharkJ,XtextInheritanceTest,2018-12-19,api_based
hewenyuAndroid,XTextView-Android,2018-10-25,api_based
OLibutzki,XtextExtras446,2019-06-17,api_based
vinisbranco,XtextJavaScript,2018-08-22,api_based
AndreasGroentved,XtextDSL2018,2018-04-22,api_based
robertchristen,XTextCategorizer.Demo,2020-05-03,api_based
alvarofpp,tutorial-xtext,2021-11-06,api_based
pakhopav,XtextLanguageGradle,2019-08-27,api_based
pakhopav,xtext,2019-08-02,api_based
adamhorvath88,Xtext,2021-02-13,api_based
0xMYsteRy,Xtext,2022-04-20,api_based
taylorlohan,XtextHealth2.0,2021-04-13,api_based
Caroline66666,xtext,2022-01-20,api_based
xuxiaowen87,XText,2020-04-24,api_based
MisbahAwan,xtext,2021-11-30,api_based
ichxorya,failed-xtext2vscode-example,2022-11-22,api_based
uqbar-project,xtext-tortuga-lang,2015-06-06,api_based
RobMoloney,xtext,2021-10-20,api_based
l1ppe,xtext,2019-07-02,api_based
madhouni,wps-ecore-ocl-xtext,2018-02-05,api_based
MISO4202,uniandes.mdd.xtext2xmi,2019-05-13,api_based
tchebs,xtext,2018-10-04,api_based
mlopez8621,xtext,2019-09-18,api_based
gvd,xtext-sm,2012-03-04,api_based
ShivaniBali,Theia-Xtext-Yangster-Project-,2017-05-08,commit_based
ehah,XtendExample,2018-04-19,api_based
meysholdt,e4dsl,2010-07-02,api_based
vks2106,prenum,2021-02-18,api_fallback
drkstr101,hello-xtext,2020-05-30,api_based
arthurmosley,Essex-Test,2018-06-08,api_based
eclipse,xtext-website-publish,2022-10-24,api_based
jflopezfernandez,xtextutils,2019-02-21,api_based
AlanQuadros,xtextlpmangan,2018-03-21,api_based
akademia,ontouml-xtext,2011-03-01,api_based
OezzyB,e-portfolio-Xtext,2018-05-19,api_based
pablitar,firewall-xtext,2013-06-26,api_based
zinon,xtextminer,2020-06-10,api_based
mustafa231,xtexteditor,2021-01-04,api_based
MOSafely,xtextrepo,2022-04-05,api_based
sahrmann,xtext-json,2017-08-08,api_based
LorenzoBettini,xtext-domain-model-guice-5,2021-05-20,api_based
BlackBeltTechnology,karaf-features-eclipse-xtext,2019-04-28,api_based
vashchenkov,xtext-samle,2018-10-17,api_based
germono,FormXtext,2020-06-02,api_based
santoshdeshpande,wwf-xtext,2011-07-19,api_based
ShrawanBK,xtext_salestransaction,2022-02-06,api_based
t-buss,mgpl_xtext,2017-01-18,api_based
szschaler,henshin_xtext_adapter,2018-06-20,api_based
kuniss,Aqua,2014-12-25,api_based
Scholvac,EclipseTaskJuggler,2015-08-03,api_based
efuentesp,Xtext-UCS,2018-05-29,api_based
rainerschuster,sygus-ide,2016-08-20,api_based
wibeck,testXtext,2019-05-27,api_based
msun68,xtext-examples,2020-01-21,api_based
xTexturedxx,xTexturedxx,NOT_FOUND,NOT_FOUND
HexXText,HexXText,2022-05-03,api_based
Gricel-lee,Xtext-Maven,2023-08-15,api_based
kolchanov,org.xtext.example.mydsl.parent,2020-02-19,api_based
Communote,communote-restws,2016-06-27,api_based
EvdokimovMaks,xtext-expressions,2019-12-11,api_based
Sorokatov,xtext-demo,2020-04-30,api_based
JoostvanPinxten,SDF3-editor,2015-02-24,api_based
atanaka,experimental-rmodp-dsl,2012-05-13,api_based
r4mtor,xtext-talks,2017-06-23,commit_based
nbhusare,xtext-playground,2020-09-02,api_based
kokostino,xtext_kokomodel,2021-08-29,api_based
leolimasa,reqlang,2014-07-14,api_based
helunwencser,PAOC,2014-12-24,api_based
lahirugayanga,xtext-projection,2018-12-28,api_based
daniel614,xtext-webapp,2018-06-17,api_based
Spiderixius,DSLIndividualXtext,2018-05-18,api_based
rainerschuster,tlsf-ide,2016-08-21,api_based
rainerschuster,asdl-ide,2017-05-03,api_based
torosky,Libreria-Xtext,2018-02-22,api_based
MaxiEckert,Xtext-example,2018-05-27,api_based
as500,xtext-rpgle,2019-06-24,api_based
JavierOramas,AudiXText,2020-11-28,api_based
xtext,xtext-monorepo,2008-05-09,commit_based
vjordan,Xtext_browser,2019-03-20,api_based
Yop-La,xtext_project,2019-03-03,commit_based
JesterOrNot,Gitpod-XText,2020-05-18,api_based
eclipse,xtext-archive,2008-05-09,commit_based
Lethalaric,xtext-learning,2023-08-01,api_based
DSIE2,tr.xtext,2018-06-25,api_based
ShivaniBali,Theia-Xtext,2018-03-13,api_based
kthoms,xtext-webinar,2018-06-18,api_based
jonathankoehn,entitygenerator,2016-12-22,api_based
zhanglin2018,learnXtext,2019-06-03,api_based
seebgar,Xtext-Projects,2020-02-27,api_based
marcusphi,polopoly-dsl,2012-04-28,api_based
AbQadirr,dialogXtextflow,2023-12-29,api_based
stolorz,RankPL-EclipsePlugin,2017-03-31,api_based
arockiaraj1994,xtext-mvn,2019-09-05,api_based
moein9,passXtext,2022-05-11,api_based
saivarunr,xtext-editor,2018-01-23,commit_based
JesterOrNot,xtext-cli,2020-01-29,api_based
Somiacao,xtext-web,2019-12-19,api_based
abieren,MDSD-Xtext-Project-for-JavaFX,2020-01-18,api_based
LIONant-depot,xtexture_compiler,2021-09-30,api_based
tchebs,xtext-example,2018-10-04,api_fallback
ballcoach12,xtext_samples,2018-02-16,api_based
AssaX0,MDSE-xtext,2021-06-01,api_based
samples-projects,sample-xtext,2019-02-03,api_based
karthik137,xtext-demo,2020-05-13,api_based
MDE-Course-23-24,SIRIUS-XTEXT,2023-12-13,api_based
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2021-04-13,api_based
laurocesar,xtext-domainmodel,2021-05-14,api_based
Yahaya12,Xtext-project,2021-09-15,api_based
malhxr,SpeechXtext,2022-06-06,api_based
stanimirovv,xtext-extractor,2022-03-16,api_based
3m3k3,xtext-congen,2023-04-09,api_based
uqbar-paco,firewall-dsls-externos-xtext,2013-11-21,commit_based
Mehdi23,FlexoModelingLanguage,2013-07-20,api_based
tmtron,ex.xtext.twog,2018-01-27,api_based
sbrocard,statemachine-generator,2015-03-02,api_based
Webastronaut,mgpl,2019-02-05,api_based
adrianrutle,PCS953-EMF-Exercise,2019-03-08,api_based
magick93,xtext,2019-02-12,api_based
yamen-njm,IotXtext,2019-01-09,api_based
blue995,xtext-orm,2018-06-20,api_based
epsilonlabs,emc-xtext,2022-01-13,api_based
katmatt,graphql-xtext,2020-11-02,api_based
lvanzeun,ulm-xtext-test,2018-07-24,api_based
purerstamp,N7.compilateur,2018-09-07,api_based
jaedabee,xtext-gradle-test,2020-04-13,api_based
MassiBelaid,M-langeuse-Xtext,2020-11-29,api_based
HouseBuilder-MDE,HouseBuilder-Xtext,2021-07-15,api_based
random-eclipse,nix-eclipse-xtext,2018-04-16,api_based
meta-doodle,Xtext_Gradle_Test,2020-02-19,api_based
coffeeframework,HLVL,2020-10-07,api_based
MaximilianKoestler,vscode-xtext-links,2020-11-03,api_based
AhmedEssam2212,xText-Editor-,2021-01-04,api_based
adrinerDP,DSL-with-Xtext,NOT_FOUND,NOT_FOUND
cdietrich,xtext-domainmodel-ls,2023-02-10,api_based
tmtron,ex.xtext.ml,2018-02-26,api_based
andrewsandu,xtext-web-example,2018-07-27,api_based
pngowda,xtext-build-tools,2018-12-03,api_based
SharkJ,xtext-dsl-sample,2018-11-30,api_based
hammedb197,team-hacktive-xtext,2019-07-08,api_based
SimonCockx,xtext-monaco-example,2022-10-31,api_based
mister-walter,xtext-folding-issue,2023-10-23,api_based
alexvolh,xtext-xml-grammar,2018-10-04,api_based
SharkJ,my-theia-xtext,2018-11-21,api_based
bogdanvuk,xvhdl,2015-08-04,api_based
vjordan,Xtext_directory-file,2019-03-20,api_based
JosBouwhuis,xText-DSL,2019-05-24,api_based
CS130-W20,assignment-2-xtext,2020-02-26,api_based
lunifera,xtext-jvmtypeprovider-standalone,2023-01-28,api_based
bobbyfisher1,eclipse-workspace,2018-05-02,api_based
dsl-course,xtext-entities-tutorial,2020-03-09,api_based
Highbrainer,xtext-pde-target,2024-01-30,api_fallback
jonev,HTTP-REST-test-DSL,2020-12-06,api_based
XIECHO,qingo_xtext_documentation,2019-12-13,api_based
FariSoftware,xtext-problem-matcher,2021-04-08,api_based
ShrawanBK,xtext.sales.transactions,2022-02-06,api_based
Lzgpom,xtext-gen-extension,2022-06-23,api_based
drkstr101,Domainmodel,2020-04-30,api_based
vinicius0197,expressions-dsl,2020-04-30,api_based
LorenzoBettini,xtext-xdoc-releases,2021-04-02,api_based
KarstenWilken,xTextForum,2018-11-19,api_based
S-wald,xtext-plugin-gradle,2022-11-12,api_based
lahirugayanga,xtext-example-dsl,2018-12-03,api_based
cdietrich,xtext-fragment-experiments,2021-09-29,api_based
cdietrich,xtext_bug_1974,2021-10-05,api_based
bergmanngabor,xtext-railmap-demo,2018-10-25,api_based
mchlrch,xtext-intro-bfh,2018-12-10,api_based
EvdokimovMaks,xtext-example-entities,2019-10-10,api_based
cipek,MyFirstXText,2019-06-13,api_based
pngowda,xtext-ci-libs,2019-02-08,api_based
paulvberlin,BaSiriusXtext,2019-02-19,api_based
rainerschuster,yacc-ide,2016-08-22,commit_based
frademacher,xtext-jpms-test,2022-03-02,api_based
xtext,xtext-monorepo-lfs,2023-03-06,api_fallback
LorenzoBettini,xtext-build-utils,2020-01-27,api_based
cdietrich,xtext-two-dsls,2023-12-29,api_based
balazsgrill,xtext_bug508518,2018-07-24,api_based
Tim-S,xtext-valueconverter-example,2018-08-16,api_based
ayakurtam,xText-Editor,2021-01-05,api_based
elite-se,elite-se.xtext.languages.plantuml,2020-07-09,api_based
xtext,xtext-orbit-replacement,2022-04-08,api_based
fedorov-vk,xtext-xcore-sample,2023-12-11,api_based
gustavotemple,mo631xtext,2019-11-26,api_based
Tim-S,xtext-mapbasedscope-example,2018-07-05,api_based
shakenetwork,xTextHandler,2016-06-19,commit_based
GabrielBozza,ProjetoXtextPFC,2021-09-05,api_based
HexXText,HexXTextSMP,2022-05-03,api_based
snarkipus,xtext-dsl-book,2022-07-30,api_based
fedorov-vk,xtextxtend-book-examples,2023-04-24,api_based
ArneDeutsch,xtext-gradle-example,2018-08-07,api_based
oliver-reinhard,xtext-ppt-demo,2019-02-16,api_based
tpluscode,xtext-completion-nullpointer,2019-07-19,api_based
idiomaticsoft,sbt-xtext-plugin,2019-12-23,api_based
vinicius0197,metacrysl,2020-05-27,api_based
ubx,openair,2011-03-21,api_based
kulcsii,xtext-railmap-theia,2019-11-27,api_based
NiccoMlt,xtext-showdown-grammar,2020-04-28,api_based
NinjaArmy,xtext-language-server,2022-02-10,api_based
jnt0r,xtext-npe-reproducable,2023-06-11,api_based
szarnekow,mongoBeans,2012-06-01,commit_based
cs130-w21,statemachine,2021-02-05,api_based
csbc92,MDSE-assignment3,NOT_FOUND,NOT_FOUND
ghillairet,org.example.mydsl.parent,2018-10-12,api_based
antoine-morvan,caph-java-parser,2019-04-18,api_based
abatti,XTEXT_FACPL3_PreserveVarious,2018-06-15,api_based
tfLabs,xtext-languageserver-example-duplicator,2020-12-23,api_based
LorenzoBettini,xtext-maven-plugin-example,2021-06-21,api_based
cdietrich,xtext-eclipse-issue-1009,2019-03-18,api_based
patrickneubauer,UoY-MODE-XTEXT,2018-10-08,api_based
mdsd-team-1,photos-xtext,2019-06-18,api_based
cdietrich,theia-xtext-vscode-example,2020-09-14,api_based
cdietrich,j9-tycho-xtext,2018-01-09,api_based
loradd,xtext-lsp-ecore-support,2019-09-30,api_based
nnn911,LaTeXTextOverlay,2024-02-09,api_based
IbanezGio,VuC,2018-01-30,api_fallback
KasperGam,IGESImport,2016-06-22,api_based
ShahimEssaid,com.essaid.model.xtext,2023-11-13,api_based
gon10,EclipseRepoTese,2018-08-15,api_based
max-leuthaeuser,jmhmathexample,2018-10-10,api_based
tshoang,WhitespaceIDE,2023-10-26,api_based
seebgar,MISO4202-proyecto-xtext,2020-04-19,api_based
NiccoMlt,xtext-15-minutes-tutorial,2020-04-21,api_based
SharkJ,theia-xtext-extension-test,2018-11-19,api_based
jku-win-se,JsonBasedXtextGrammar,2021-04-23,api_based
altran-mde,xtext-sirius-integration.io,2018-10-16,api_based
cdietrich,xtext-core-issue-1835,2022-02-19,api_based
Zaki-Fadlan,xtext_getting_started_skilledup,2023-07-18,api_based
thlaegler,edilang,2022-04-19,api_based
rudi,xtext-emacs-lsp-demo,2021-05-01,api_based
fedorov-vk,apds_prototype,NOT_FOUND,NOT_FOUND
test-editor,test-editor-xtext-gradle,2018-10-04,api_based
Ixgauth,perspectiveDSL-Sirus-Xtext,2021-03-16,api_based
keve98,SzakD_xtext_xtend,2021-05-03,api_based
silvergl,xtext-headless-rcp-example,2022-05-06,api_based
reinaqu,bpmnFromXtextDSL,2022-07-16,api_based
xtext,xtext-p2-orbit,2018-08-29,api_based
dsl-course,xtext-tutorial-turku-interim,2020-03-30,api_based
tfLabs,xtext-lsp-validation-anyway,2020-10-20,api_based
BalzGuenat,xtext-bug-minimal-example,2018-03-07,api_based
dmfullstack,org.xtext.example.mydsl,2017-08-30,commit_based
zhou-jg,tefler,2015-06-23,api_based
cdietrich,xtext-languageserver-example-simple,2021-10-18,api_based
msntts,Xtext-Standalone-fat-jar,2022-01-16,api_based
oldulov,cfeditor,2018-01-25,api_based
LorenzoBettini,xtext-type-errors-examples,2018-05-21,commit_based
claudenirmf,OntoUML-2.0-Xtext,2018-04-04,api_based
Mehmetcanss,example_xtext_language_server_vscode,2019-01-11,api_based
lidochca,xtext.skip.build.before.rename,2020-01-22,api_based
cdietrich,xtext-maven-plugin-coverage-example,2021-06-25,api_based
Kevin-Philip,TP_etudiant_Compilax,2018-11-06,commit_based
bproenca,mpti-dsl,2021-11-14,api_based
tshoang,BareBonesIDE,2023-10-26,api_based
tareklel,PDFtoText,2020-04-04,api_based
TVTower,TVTBlitzmaxEditor,2020-12-14,commit_based
cdietrich,xtext-multi-dsl-manual-metamodel,2021-06-14,api_based
hallvard,xost,NOT_FOUND,NOT_FOUND
davidmpaz,log-book,2023-02-19,commit_based
oliver-reinhard,xtext-scoping-default-imports-demo,2019-05-23,api_based
szarnyasg,sql-pgq-xtext,NOT_FOUND,NOT_FOUND
MISO4202,uniandes.mdd.example.create-xtext,2019-02-15,api_based
NaoMod,XText-Language-Server-in-VSCode,2022-02-17,api_based
protossoftware,ReqText,2016-06-24,api_based
cdietrich,simple-xtext-parallel-load-example,2021-06-07,api_based
bobbyfisher1,expressions,2018-05-09,commit_based
vztpv,ClauTextWithEclipse,2017-11-24,api_based
tfLabs,xtext-n4js-lsp,2020-09-27,api_based
yishakabreham,mde.sales.transactions.xtext.4,2022-02-06,api_based
Rajesh2015,DSL-using-Xtext-and-Xtend,2018-03-30,api_based
cdietrich,xtext-lsp-tests-with-tycho,2021-11-25,api_based
CarlosAsrc,Reconhecedor-scheme,2019-03-29,api_based
oliver-reinhard,xtext-scoping-default-namespaces-demo,2019-02-16,api_based
TVTower,TVTDatabaseEditor,2021-04-07,api_based
Tim-S,ReqLNG,2017-04-21,commit_based
