Repository,ecore_count,result
XTextureExtractor,0,null
theia-xtext-sprotty-example,0,null
xtext-sirius-integration,11,TBD
graphql-xtext,1,Grammar-Driven
vscode-xtext-sprotty-example,0,null
xtext-website,0,null
common-xtext-expression-language,0,null
Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2,Metamodel-Driven
xtext,0,null
EmojiText-XText,0,null
xtext-ide-extensions,0,null
xtext-service-dsl,0,null
service-idl,0,null
XUML_B,0,null
CoreDSL,0,null
xtext2langium,0,null
post_core,1,Grammar-Driven
RPG-lexer,1,Grammar-Driven
XText,0,null
jugh-xtext-arkanoid,1,Grammar-Driven
LambdaXtextract,0,null
mgpl-xtext,0,null
Oberon-XText,1,Grammar-Driven
TopXTextUI,0,null
xtext_web,1,Grammar-Driven
composer-language-server,0,null
xtext-dsl-compiler-example,1,Grammar-Driven
XTheory,1,Metamodel-Driven
xtext_tutorial_15_min_zh,2,Grammar-Driven
openCypher-Xtext,0,null
epsilon,149,TBD
Oberon-IDE,1,Grammar-Driven
xtext-tips,3,Metamodel-Driven
pt.isep.dsl.puml,0,null
mgpl,1,Grammar-Driven
MetaCrySL,0,null
tosca-yaml-lsp,0,null
gradle-xtext-generator,0,null
ex.xtext.lsp,0,null
standalone-xtext-example,1,Grammar-Driven
xtext-docs-gen,1,Grammar-Driven
WordPress-Plugin-DSL,0,null
PolicyLanguage,0,null
XtextTest,0,null
XtextExamples,2,Grammar-Driven
XTextEditor,0,null
xtextMath,0,null
xtextCodebuff,0,null
XTextView,0,null
XtextExamples,2,Grammar-Driven
XtextStudy,1,Grammar-Driven
XTextClassification,0,null
XtextGerador,0,null
XtextPlugin,0,null
XtextTutorial,0,null
XtextWorkspace,2,Grammar-Driven
XtextCollaborativeEnvironment,2,Grammar-Driven
XtextLanguage,0,null
XTextView,0,null
xtextHW,1,Grammar-Driven
XTextFlagDemo,0,null
XtextTrabalho2,1,Grammar-Driven
Xtext,0,null
xtextsample,0,null
XtextInheritanceTest,2,Grammar-Driven
XTextView-Android,0,null
XtextExtras446,1,Grammar-Driven
XtextJavaScript,0,null
XtextDSL2018,1,Grammar-Driven
XTextCategorizer.Demo,0,null
tutorial-xtext,1,Grammar-Driven
XtextLanguageGradle,0,null
xtext,0,null
Xtext,0,null
Xtext,0,null
XtextHealth2.0,0,null
xtext,0,null
XText,0,null
xtext,0,null
failed-xtext2vscode-example,0,null
dsl.evtool,2,TBD
xtext,0,null
xtext,0,null
wps-ecore-ocl-xtext,1,Metamodel-Driven
uniandes.mdd.xtext2xmi,0,null
xtext,0,null
xtext,0,null
xtext,0,null
Theia-Xtext-Yangster-Project-,1,Grammar-Driven
XtendExample,0,null
co.edu.uniandes.gramaticajmeter,1,Grammar-Driven
prenum,0,null
hello-xtext,2,Grammar-Driven
Essex-Test,0,null
xtext-website-publish,0,null
xtextutils,0,null
xtextlpmangan,1,Grammar-Driven
JSON-Schema-to-internal-DSL,1,Grammar-Driven
e-portfolio-Xtext,1,Grammar-Driven
apds_dsl,0,null
xtextminer,0,null
xtexteditor,0,null
xtextrepo,0,null
mpti-dsl,1,Grammar-Driven
xtext-domain-model-guice-5,1,Grammar-Driven
karaf-features-eclipse-xtext,0,null
xtext-samle,0,null
FormXtext,1,Grammar-Driven
compiler_xtext,0,null
xtext_salestransaction,1,Metamodel-Driven
XMarking,3,Metamodel-Driven
henshin_xtext_adapter,0,null
BIP-language,0,null
pascal-xtext,1,Grammar-Driven
Xtext-UCS,0,null
ripacola-xtext,0,null
testXtext,1,Grammar-Driven
xtext-examples,1,Grammar-Driven
xTexturedxx,0,null
HexXText,0,null
Xtext-Maven,1,Grammar-Driven
org.xtext.example.mydsl.parent,1,Grammar-Driven
vuc-xtext,1,Grammar-Driven
xtext-expressions,0,null
xtext-demo,1,Grammar-Driven
uppaal-xtext,0,null
Xtext-UML,1,Grammar-Driven
xtext-talks,1,Grammar-Driven
xtext-playground,2,Grammar-Driven
xtext_kokomodel,2,Metamodel-Driven
ocl-xtext,1,Grammar-Driven
ABL-XText,1,Grammar-Driven
xtext-projection,1,Grammar-Driven
xtext-webapp,1,Grammar-Driven
DSLIndividualXtext,0,null
photos-xtext,1,Grammar-Driven
xtext-cobol,0,null
Libreria-Xtext,0,null
Xtext-example,13,Metamodel-Driven
xtext-rpgle,0,null
AudiXText,0,null
xtext-monorepo,222,TBD
Xtext_browser,1,Grammar-Driven
xtext_project,1,Grammar-Driven
Gitpod-XText,0,null
xtext-archive,0,null
xtext-learning,1,Grammar-Driven
tr.xtext,0,null
Theia-Xtext,1,Grammar-Driven
xtext-webinar,0,null
mgpl-xtext,0,null
learnXtext,2,Grammar-Driven
Xtext-Projects,0,null
xtext_web,1,Grammar-Driven
dialogXtextflow,0,null
xtext-orm,0,null
xtext-mvn,1,Grammar-Driven
passXtext,0,null
xtext-editor,0,null
xtext-cli,0,null
xtext-web,0,null
graphql-xtext,1,Grammar-Driven
xtexture_compiler,0,null
xtext-example,13,Metamodel-Driven
xtext_samples,0,null
MDSE-xtext,1,Grammar-Driven
sample-xtext,0,null
xtext-demo,1,Grammar-Driven
SIRIUS-XTEXT,1,Metamodel-Driven
megal-xtext,1,Metamodel-Driven
xtext-domainmodel,1,Grammar-Driven
Xtext-project,0,null
SpeechXtext,0,null
xtext-extractor,0,null
xtext-congen,0,null
xtext_elm_editor,0,null
toppers_cfg_xtext,0,null
ex.xtext.twog,0,null
metacrysl,0,null
navascript-editor,0,null
PCS953-EMF-Exercise,0,null
xspice,1,Grammar-Driven
IotXtext,0,null
xtext-plsql,1,Grammar-Driven
emc-xtext,0,null
kukulkan-grammar,1,Grammar-Driven
ulm-xtext-test,1,Grammar-Driven
N7.compilateur,1,Grammar-Driven
xtext-gradle-test,0,null
M-langeuse-Xtext,1,Grammar-Driven
xtext_encoding_dsl,2,TBD
nix-eclipse-xtext,0,null
Xtext_Gradle_Test,0,null
nusmv-xtext-lsp,1,Grammar-Driven
vscode-xtext-links,0,null
xText-Editor-,0,null
DSL-with-Xtext,1,Grammar-Driven
xtext-domainmodel-ls,1,Grammar-Driven
ex.xtext.ml,0,null
xtext-web-example,1,Grammar-Driven
xtext-build-tools,0,null
xtext-dsl-sample,1,Grammar-Driven
team-hacktive-xtext,0,null
xtext-monaco-example,0,null
xtext-folding-issue,0,null
xtext-xml-grammar,0,null
my-theia-xtext,1,Grammar-Driven
xtext-gait-model,1,Grammar-Driven
Xtext_directory-file,1,Grammar-Driven
xText-DSL,0,null
assignment-2-xtext,0,null
xtext-jvmtypeprovider-standalone,0,null
eclipse-workspace,1,Grammar-Driven
xtext-entities-tutorial,0,null
xtext-pde-target,0,null
xtext-fipa-acl,0,null
qingo_xtext_documentation,0,null
xtext-problem-matcher,0,null
xtext.sales.transactions,1,Metamodel-Driven
xtext-gen-extension,6,TBD
Domainmodel,1,Grammar-Driven
expressions-dsl,1,Grammar-Driven
xtext-xdoc-releases,0,null
xTextForum,1,Grammar-Driven
xtext-plugin-gradle,1,Metamodel-Driven
xtext-example-dsl,1,Grammar-Driven
xtext-fragment-experiments,0,null
xtext_bug_1974,1,Grammar-Driven
xtext-railmap-demo,1,Grammar-Driven
xtext-intro-bfh,1,Grammar-Driven
xtext-example-entities,1,Grammar-Driven
MyFirstXText,1,Grammar-Driven
xtext-ci-libs,0,null
BaSiriusXtext,1,Metamodel-Driven
sql-pgq-xtext,0,null
xtext-jpms-test,0,null
xtext-monorepo-lfs,0,null
xtext-build-utils,0,null
xtext-two-dsls,2,Grammar-Driven
xtext_bug508518,1,Metamodel-Driven
xtext-valueconverter-example,1,Grammar-Driven
xText-Editor,0,null
HouseBuilder-Xtext,0,null
xtext-orbit-replacement,0,null
xtext-xcore-sample,0,null
mo631xtext,0,null
xtext-mapbasedscope-example,0,null
xTextHandler,0,null
ProjetoXtextPFC,2,Metamodel-Driven
HexXTextSMP,0,null
xtext-dsl-book,0,null
xtextxtend-book-examples,2,Metamodel-Driven
xtext-gradle-example,3,Grammar-Driven
xtext-ppt-demo,1,Grammar-Driven
xtext-completion-nullpointer,0,null
sbt-xtext-plugin,0,null
online_elm_xtext,1,Grammar-Driven
ExternalDSL-xtext,0,null
xtext-railmap-theia,1,Grammar-Driven
xtext-showdown-grammar,0,null
xtext-language-server,0,null
xtext-npe-reproducable,1,Grammar-Driven
eJSL-ANTLR4,0,null
statemachine,1,Grammar-Driven
MDSE-assignment3,1,Grammar-Driven
org.example.mydsl.parent,1,Metamodel-Driven
caph-java-parser,0,null
XTEXT_FACPL3_PreserveVarious,0,null
xtext-languageserver-example-duplicator,0,null
xtext-maven-plugin-example,0,null
xtext-eclipse-issue-1009,0,null
UoY-MODE-XTEXT,2,Metamodel-Driven
sprat-ecosystem-dsl-xtext,1,Grammar-Driven
theia-xtext-vscode-example,0,null
j9-tycho-xtext,0,null
xtext-lsp-ecore-support,2,Metamodel-Driven
LaTeXTextOverlay,0,null
VuC,0,null
DSLs,4,Grammar-Driven
com.essaid.model.xtext,0,null
EclipseRepoTese,3,Grammar-Driven
jmhmathexample,1,Grammar-Driven
WhitespaceIDE,1,Grammar-Driven
MISO4202-proyecto-xtext,0,null
xtext-15-minutes-tutorial,0,null
theia-xtext-extension-test,1,Grammar-Driven
JsonBasedXtextGrammar,1,Metamodel-Driven
xtext-sirius-integration.io,0,null
xtext-core-issue-1835,0,null
xtext_getting_started_skilledup,1,Grammar-Driven
Xtext-Minecraft-JSON-Languages,4,Grammar-Driven
xtext-emacs-lsp-demo,0,null
apds_prototype,0,null
test-editor-xtext-gradle,0,null
perspectiveDSL-Sirus-Xtext,0,null
SzakD_xtext_xtend,0,null
xtext-headless-rcp-example,0,null
bpmnFromXtextDSL,1,Grammar-Driven
xtext-p2-orbit,0,null
xtext-tutorial-turku-interim,1,Grammar-Driven
xtext-lsp-validation-anyway,0,null
xtext-bug-minimal-example,0,null
org.xtext.example.mydsl,0,null
JFlex_CUP_XText_SQL,1,Grammar-Driven
xtext-languageserver-example-simple,0,null
Xtext-Standalone-fat-jar,0,null
cfeditor,1,Metamodel-Driven
xtext-type-errors-examples,0,null
OntoUML-2.0-Xtext,0,null
example_xtext_language_server_vscode,0,null
xtext.skip.build.before.rename,0,null
xtext-maven-plugin-coverage-example,1,Grammar-Driven
TP_etudiant_Compilax,1,Grammar-Driven
elite-se.xtext.languages.plantuml,0,null
BareBonesIDE,1,Grammar-Driven
PDFtoText,0,null
TVTBlitzmaxEditor,0,null
xtext-multi-dsl-manual-metamodel,2,Metamodel-Driven
xost,0,null
log-book,0,null
xtext-scoping-default-imports-demo,1,Grammar-Driven
Simple-Barebone-XText-based-IDE,1,Grammar-Driven
uniandes.mdd.example.create-xtext,1,Metamodel-Driven
XText-Language-Server-in-VSCode,1,Grammar-Driven
xtext-egl-sql2java,1,Grammar-Driven
simple-xtext-parallel-load-example,1,Grammar-Driven
expressions,2,Grammar-Driven
DBML-to-ER,1,Grammar-Driven
xtext-n4js-lsp,0,null
mde.sales.transactions.xtext.4,1,Metamodel-Driven
DSL-using-Xtext-and-Xtend,1,Grammar-Driven
xtext-lsp-tests-with-tycho,1,Grammar-Driven
Reconhecedor-scheme,1,Grammar-Driven
xtext-scoping-default-namespaces-demo,1,Grammar-Driven
TVTDatabaseEditor,0,null
DSL,1,Grammar-Driven
bashdsl,1,Grammar-Driven
faugjs-eclipse-plugin,1,Grammar-Driven
Uclid-editor,1,Grammar-Driven
xtext-lsp-missing-deleteFile-impl,1,Grammar-Driven
theia-xtext-pf-v1-backup,1,Grammar-Driven
mdsd-2023-lab2-xtext-xtend,0,null
MDSD-Xtext-Project-for-JavaFX,1,Grammar-Driven
xtext-assertAllWhitespaceIsFormatted,1,Grammar-Driven
SF_Factories_Beleg2324_Xtext_DSL,2,Grammar-Driven
CodeGeneration,0,null
init,0,null
x400-xrpgle,0,null
TripManagment,1,Metamodel-Driven
xtext-xtend-978-1-7864-6496-5,2,Metamodel-Driven
telemed,2,TBD
xtend-StackOverflowError-issue461,0,null
projetoCompiladores18-2,0,null
math_assignment_3_math_compiler_xtext_and_xtend,0,null
domain.model,1,Grammar-Driven
metafacture-flux,0,null
example-script-language,0,null
eclipse_workspace,13,TBD
FunPL,1,Metamodel-Driven
QuestionnaireDSL,1,Metamodel-Driven
NmtranEditor,1,Grammar-Driven
Implementing-observer-design-pattern-with-Xtext-and-Xtend,1,Grammar-Driven
Lobster-language-conversion-sql-language-based-on-Xtext,1,Grammar-Driven
meth,1,Grammar-Driven
bachelors-thesis,0,null
statemachine,1,Grammar-Driven
tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,18,Metamodel-Driven
Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,null
domain-specific-language,1,Grammar-Driven
Palladio-Editors-VSCode,0,null
xtend-active-annotation-issue,0,null
feature-dsl-tools,1,Grammar-Driven
Aim42Visualizer,0,null
ide-yourdsl,0,null
dumpsymb,0,null
edilang,1,Grammar-Driven
mydsl-language-server,0,null
DSL-Blog,0,null
issue-2000-example,0,null
net.adempiere.dsl.properties.spring.parent,1,Grammar-Driven
hello-world-language,0,null
Pretty-Printer_Language-Analysis,124,Metamodel-Driven
HLVL,0,null
eJSL-MPS,0,null
kukulkan-language-server,1,Grammar-Driven
dsl-layered-style,0,null
t2-lingProg,1,Grammar-Driven
NetzDsl,0,null
assertx-swing,1,Grammar-Driven
Eclipse-Training-Schedules,0,null
xtend-example,0,null
simple-ros-code-generator,2,Metamodel-Driven
linguaPhyloDSL,1,Grammar-Driven
Entidades,1,Grammar-Driven
datasample,1,Metamodel-Driven
smart-dsl,2,TBD
DSL_UML_INSA,0,null
SpringDSLJava,0,null
tumlrt-language-server,0,null
HTTP-REST-test-DSL,1,Grammar-Driven
DSL-Wizard-Creator,1,Metamodel-Driven
Wail,1,Grammar-Driven
GrammarGenerator,0,null
dsl,1,Grammar-Driven
MiniTL,5,TBD
mde-spec,1,Grammar-Driven
SchemeLP,1,Grammar-Driven
ifcBrickConvert,0,null
fault_trees_textual_editor,1,Grammar-Driven
TPTP-Editor,1,Grammar-Driven
IDM,1,Metamodel-Driven
ifcBrickConvertDsl,1,Grammar-Driven
XModel-Code-Converter,1,Grammar-Driven
XModel-Code-Converter,1,Grammar-Driven
CEPStaticAnalysis,1,Grammar-Driven
MiniARM-feature,1,Grammar-Driven
C4EventB,1,Metamodel-Driven
metatemplating,5,TBD
AWS-EC2-Service_DSL-EMF,1,Metamodel-Driven
math-interpreter-dsl,1,Grammar-Driven
concept_project,0,null
Model-Driven-Engineering,3,Metamodel-Driven
Kotlin-Meta-Model,1,Metamodel-Driven
SeamlessRuntimeTransformations,1,Grammar-Driven
CanopusDesign,0,null
Workbench,7,TBD
xtext,0,null
xtext-core,132,TBD
xtext-xtend,2,Metamodel-Driven
xtext-eclipse,61,TBD
xtext-extras,25,TBD
xtext-web,0,null
seven-languages-xtext,7,Grammar-Driven
xtext-maven,1,Grammar-Driven
xtext-lib,0,null
maven-xtext-example,0,null
LaTeXText,0,null
xtext-languageserver-example,0,null
xtext-idea,0,null
coffeescript-eclipse,0,null
xDoc,2,Metamodel-Driven
xtext-gradle-plugin,0,null
packtpub-xtext-book-2nd-examples,2,Metamodel-Driven
xTextHandler,0,null
packtpub-xtext-book-examples,6,Grammar-Driven
theia-xtext,1,Grammar-Driven
xtext-lsp-workshop,1,Grammar-Driven
Xtext-Sirius-integration,11,TBD
Xtext2-DSLs,0,null
Xcore,1,Metamodel-Driven
lcdsl,1,Grammar-Driven
xtext-umbrella,0,null
xtext-protected-regions,0,null
xtend-gradle-plugin,0,null
xtext-maven-examples,0,null
xtext-tycho-example,0,null
xtext-sandbox,4,Grammar-Driven
xtext-standalone-maven-build,1,Grammar-Driven
XText,0,null
xtext.tools,0,null
xtext-dnn,0,null
Xtext2-experiments,4,Metamodel-Driven
xsemantics,1,Metamodel-Driven
xtext-reference-projects,0,null
FlatBuffersSchemaEditor,1,Grammar-Driven
eLang,0,null
emt-xtext-archetype,0,null
amalgamation-examples-xtext,0,null
xtext-experimental,0,null
dsl-devkit,14,TBD
generator-xtext,0,null
yang-design-studio,3,TBD
xtextadd,5,Grammar-Driven
edelta,304,Metamodel-Driven
xgherkin,1,Metamodel-Driven
xtext.unittesting,1,Grammar-Driven
slizaa-opencypher-xtext,0,null
cdo-xtext,1,Metamodel-Driven
Xtext-Models-Stats-View,0,null
xtext-jflex,0,null
eclipse-typescript-xtext,0,null
XMLText,0,null
org.xtext.antlr.generator,0,null
xtext-ide,0,null
terminology,0,null
veraPDF-model-syntax,0,null
languageserver-example,0,null
plantuml-eclipse-xtext,0,null
JSFLibraryGenerator,1,Grammar-Driven
jkind-xtext,1,Grammar-Driven
Xtext2Sonar,0,null
xtext-vscode,0,null
Xtext-Workshop-Development-Workspace,0,null
xtext-uml-example,1,Grammar-Driven
xtext-maven-example,2,Grammar-Driven
tptpParser,0,null
xtexts,0,null
xtext-tortuga-lang,1,Grammar-Driven
Xtext1-DSLs,0,null
applause,1,Grammar-Driven
ecefrance2015-xtext-example,0,null
DirectXTextBlock,0,null
xtext-apidiff,0,null
